西暦（暦年）,和暦（暦年）,陳情総数,陳情採択,陳情一部採択,陳情不採択,陳情取り下げ,陳情継続審査,陳情審議未了
2017年,平成29年,7,2,1,4,0,0,0
2018年,平成30年,8,4,1,3,0,0,0
2019年,平成31年,4,1,0,3,0,0,0
2020年,令和２年,6,1,0,5,0,0,0
2021年,令和３年,9,1,0,7,0,1,0
2022年,令和４年,6,1,0,3,1,1,0
