年度（和暦）,年度（西暦）,総務大臣決定分計（千円）,市長決定分計（千円）,構築物（千円）,機械及び装置（千円）,車輌及び運搬具（千円）,工具器具及び備品（千円）
平成30年度,2018,10071473,9939244,4481927,2437320,33136,2986861
平成31年度,2019,10258454,9344237,4451887,2208386,23931,2660033
令和２年度,2020,10241440,9696540,4948295,1942747,14949,2790549
令和３年度,2021,10255316,8759028,4520057,1685041,12904,2541026
令和４年度,2022,10113939,9541381,4921451,1842976,6724,2770230
