施設,４月,５月,６月,７月,８月,９月,１０月,１１月,１２月,１月,２月,３月
中央図書館,9007,9183,6421,9642,10099,9324,9345,8870,8605,8669,8869,9583
野川地域センター図書室,963,1010,728,1075,1152,920,972,912,855,867,943,956
上和泉地域センター図書室,675,824,645,842,1015,811,816,797,706,747,754,802
岩戸地域センター図書室,1272,1343,1082,1409,1600,1402,1473,1336,1167,1287,1376,1494
南部地域センター図書室,926,1025,720,963,1160,925,1005,906,848,944,923,946
西河原公民館図書室,1382,1303,1129,1512,1805,1498,1479,1488,1354,1422,1363,1694
