年（和暦）,年（西暦）,地上契約（台）,衛星契約（台）
平成29年,2017年,13382,15407
平成30年,2018年,13414,16134
平成31年,2019年,13074,16847
令和２年,2020年,12698,16564
令和３年,2021年,12477,16355
