年度（和暦）,年度（西暦）,軽自動車及び小型特殊自動車の総数（台）,軽二輪（台）,軽三輪（台）,軽自動車の貨物自動車（台）,軽自動車の乗用自動車（台）,小型特殊自動車（台）,小型二輪（台）,原動機付自転車の総数（台）,原動機付自転車90cc超～125cc以下（台）,原動機付自転車50cc超～90cc以下（台）,原動機付自転車50cc以下（台）,原動機付自転車ミニカー（50cc以下の三・四輪車）（台）
平成30年度,2018,4875,1036,0,1383,2413,43,916,3487,1135,216,2078,58
平成31年度,2019,4851,986,0,1381,2442,42,908,3387,1144,207,1978,58
令和２年度,2020,4834,969,0,1393,2422,50,930,3289,1151,204,1875,59
令和３年度,2021,4958,990,0,1382,2533,53,930,3258,1186,209,1803,60
令和４年度,2022,4982,997,0,1379,2555,51,965,3241,1229,206,1743,63
