夫の年齢,妻が60歳未満,妻が60～64歳,妻が65～69歳,妻が70～74歳,妻が75～79歳,妻が80～84歳,妻が85歳以上
60歳未満,2668,49,11,2,1,0,0
60～64歳,258,283,45,10,1,0,0
65～69歳,82,241,348,57,5,3,2
70～74歳,42,86,360,448,68,6,2
75～79歳,6,14,68,436,345,47,5
80～84歳,1,1,5,60,373,227,28
85歳以上,1,0,6,11,76,268,224
