年度（和暦）,年度（西暦）,中央図書館（一般書：冊）,野川地域センター図書室（一般書：冊）,上和泉地域センター図書室（一般書：冊）,岩戸地域センター図書室（一般書：冊）,南部地域センター図書室（一般書：冊）,西河原公民館図書室（一般書：冊）,中央図書館（児童書：冊）,野川地域センター図書室（児童書：冊）,上和泉地域センター図書室（児童書：冊）,岩戸地域センター図書室（児童書：冊）,南部地域センター図書室（児童書：冊）,西河原公民館図書室（児童書：冊）,電子図書館タイトル数（件）
平成29年度,2017,121751,13116,16850,11959,10602,20843,47563,10099,9643,8753,10278,13026, ― 
平成30年度,2018,121600,12647,16881,11896,10623,19987,48115,10087,9780,8921,10442,12293, ― 
平成31年度,2019,121976,12546,16970,12073,10780,20221,48773,9920,9812,8935,10551,12068, ― 
令和２年度,2020,123983,13022,17368,12400,10743,20528,50011,10080,9838,9301,10398,12126,9664
令和３年度,2021,126172,13029,17470,12604,10784,20430,51237,10193,10057,9362,10613,12198,11452
令和４年度,2022,127463,12877,17213,12706,10767,19543,51390,10361,10060,9456,10469,11954,12879
