西暦（暦年）,和暦（暦年）,庁舎の土地（㎡）,庁舎の建物（㎡）,その他の行政機関の土地（㎡）,その他の行政機関の建物（㎡）
2017年度,平成29年度,10403,13201,4922,2485
2018年度,平成30年度,10403,13201,4922,2485
2019年度,平成31年度,10403,13201,4845,2424
2020年度,令和２年度,10403,13201,4620,2316
2021年度,令和３年度,10403,13201,4620,2316
