地域,世帯数,男性人口,女性人口,面積（k㎡）
総数,"7,354,402","6,775,557","7,019,376","2,194.05"
区部,"5,254,558","4,669,453","4,853,419",627.53
市部,"2,059,057","2,065,343","2,126,323",783.95
郡部,"26,320","28,047","27,796",375.86
島部,"14,467","12,714","11,838",406.71
八王子市,"276,046","280,789","280,969",186.38
立川市,"94,682","91,887","93,237",24.36
武蔵野市,"78,187","70,796","77,229",10.98
三鷹市,"96,169","93,133","97,457",16.42
青梅市,"64,324","65,846","65,278",103.31
府中市,"127,939","130,324","129,929",29.43
昭島市,"55,690","56,574","57,255",17.34
調布市,"121,783","115,778","122,161",21.58
町田市,"202,985","210,497","219,888",71.55
小金井市,"62,328","61,271","63,346",11.3
小平市,"94,183","95,754","99,607",20.51
日野市,"91,736","93,665","93,639",27.55
東村山市,"74,846","73,803","77,892",17.14
国分寺市,"62,992","62,913","64,879",11.46
国立市,"38,957","37,105","39,212",8.15
福生市,"30,086","28,120","28,154",10.16
狛江市,"43,134","40,175","42,847",6.39
東大和市,"40,049","41,846","43,439",13.42
清瀬市,"36,502","36,069","38,879",10.23
東久留米市,"55,777","56,926","60,165",12.88
武蔵村山市,"32,373","35,768","36,104",15.32
多摩市,"73,460","72,250","75,278",21.01
稲城市,"41,932","46,672","46,335",17.97
羽村市,"26,016","27,607","27,002",9.9
あきる野市,"36,487","39,892","40,220",73.47
西東京市,"100,394","99,883","105,922",15.75
