年齢（歳）,男性人口,女性人口
0,348,307
1,327,340
2,353,308
3,411,327
4,359,339
5,371,349
6,358,340
7,315,332
8,357,310
9,311,320
10,305,291
11,301,278
12,341,307
13,289,287
14,282,273
15,284,301
16,313,304
17,308,290
18,339,346
19,449,373
20,495,408
21,506,480
22,538,499
23,473,558
24,451,541
25,497,568
26,483,542
27,450,509
28,459,540
29,433,500
30,454,529
31,455,498
32,494,502
33,488,535
34,485,545
35,509,552
36,573,580
37,569,587
38,576,615
39,563,601
40,606,599
41,611,590
42,636,607
43,664,584
44,634,646
45,624,636
46,655,655
47,668,705
48,693,657
49,657,656
50,636,712
51,679,678
52,664,643
53,668,647
54,591,528
55,621,580
56,642,514
57,519,508
58,478,458
59,454,474
60,486,455
61,451,440
62,409,433
63,398,390
64,420,393
65,386,387
66,391,416
67,384,363
68,393,425
69,406,436
70,441,471
71,534,563
72,473,557
73,460,553
74,320,406
75,310,405
76,354,497
77,366,488
78,340,495
79,329,466
80,295,440
81,256,351
82,278,395
83,222,389
84,252,390
85,222,401
86,180,347
87,195,320
88,160,261
89,125,238
90,86,220
91,84,197
92,56,153
93,49,138
94,31,97
95,25,57
96,22,69
97,11,38
98,11,26
99,5,15
100歳以上,9,30
不詳,1346,1030
