回答者(or No.),問１　お子さんとあなた（回答者）との関係は、以下のどれになりますか。お子さんからみた続き柄で、お答えください。,問１　５　その他,問２　あなたの年齢を教えてください。,問２　あなたの年齢を教えてください。,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答１）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答２）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答３）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答４）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答５）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答６）,問３　お子さんと同居しているご家族について教えてください。単身赴任しているご家族も含めてください。（複数回答７）,問３　３　祖父／人数,問３　４　祖母／人数,問３　５　兄／人数,問３　６　姉／人数,問３　７　弟／人数,問３　８　妹／人数,問３　９　その他の親戚／人数,問３　10　その他／人数,問４　現在のあなたの婚姻状況を教えてください。,問５　離婚相手と子どもの養育費の取り決めをしていますか。また、養育費を現在受け取っていますか。,問６　お子さんと同居しているご家族の中に、高齢であったり障がいがあったりするなど、介護が必要な方はいますか。,問７　お子さんが病気のときや、ご自身の用事のときなどに頼れる親族や友人などがいますか。,問８　両親の国籍／A　母親,問８　両親の国籍／B　父親,問９　両親の就労状況／A　母親,問９　両親の就労状況／B　父親,問９1　働いていない最も主な理由／A　母親,問９1　働いていない最も主な理由／B　父親,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親,問９3　平日の日中以外の勤務／A　母親（複数回答１）,問９3　平日の日中以外の勤務／A　母親（複数回答２）,問９3　平日の日中以外の勤務／A　母親（複数回答３）,問９3　平日の日中以外の勤務／A　母親（複数回答４）,問９3　平日の日中以外の勤務／A　母親（複数回答５）,問９3　平日の日中以外の勤務／A　母親　６　その他,問９3　平日の日中以外の勤務／B　父親（複数回答１）,問９3　平日の日中以外の勤務／B　父親（複数回答２）,問９3　平日の日中以外の勤務／B　父親（複数回答３）,問９3　平日の日中以外の勤務／B　父親（複数回答４）,問９3　平日の日中以外の勤務／B　父親（複数回答５）,問９3　平日の日中以外の勤務／B　父親（複数回答６）,問９3　平日の日中以外の勤務／B　父親　６　その他,問10　昨年１年間（2022年１月～12月）の収入（税込）／A　母親,問10　昨年１年間（2022年１月～12月）の収入（税込）／B　父親,問10　昨年１年間（2022年１月～12月）の収入（税込）／C　その他生計を一にする家族,問11　お子さんに、どの段階までの教育を受けさせたいと考えていますか,問111　問11で回答した理由を教えてください。（複数回答１）,問111　問11で回答した理由を教えてください。（複数回答２）,問111　問11で回答した理由を教えてください。（複数回答３）,問111　問11で回答した理由を教えてください。（複数回答４）,問111　問11で回答した理由を教えてください。（複数回答５）,問111　５　その他,問12　健康状態／①　あなた（回答者）,問12　健康状態／②　お子さん,問13　全体として、あなたは最近の生活に、どのくらい満足していますか。,問14　あなたのご家庭では、このお子さんのために就学援助費を受け取っていますか。,問141　受け取っていない理由を教えてください。,問141　７　その他,問15　あなたは、平日（お子さんの学校のある日）に毎日、朝ごはんを食べますか。,問16　A　お子さんの勉強をみる,問16　B　お子さんと外でからだを動かして遊ぶ（スポーツなど）,問16　C　お子さんと室内でゲーム等で遊ぶ（テレビゲーム・携帯ゲーム・将棋・トランプ・ボードゲームなど）,問16　D　お子さんと学校生活、ニュース、テレビ番組等の話をする,問16　E　お子さんと一緒に家事など（料理等）をする,問16　F　お子さんと一緒に買い物等外出をする,問17　A　海水浴・登山などに行く,問17　B　博物館・科学館・美術館などに行く,問17　C　キャンプやバーベキューなどに行く,問17　D　スポーツ観戦や映画・コンサートなどに行く,問17　E　遊園地やテーマパークなどに行く,問18　あなたは、お子さんの将来（夢・進路・職業等）について、お子さんと一緒に考えたり、話したりすることがありますか。,問19　買えなかったこと／①食料,問19　買えなかったこと／②衣類,問20　Ａ　電話料金,問20　Ｂ　電気料金,問20　Ｃ　ガス料金,問20　Ｄ　水道料金,問20　Ｅ　家賃,問20　Ｆ　住宅ローン,問20　Ｇ　その他の債務,問21　Ａ　毎月お小遣いを渡す,問21　Ｂ　毎年新しい洋服・靴を買う,問21　Ｃ　習い事(音楽、スポーツ、習字等)に通わせる,問21　Ｄ　学習塾に通わせる（または家庭教師に来てもらう）,問21　Ｅ　お誕生日のお祝いをする,問21　Ｆ　１年に１回くらい家族旅行に行く,問21　Ｇ　クリスマスのプレゼントや正月のお年玉をあげる,問21　Ｈ　子どもの学校行事などに親が参加する,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答１）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答２）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答３）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答４）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答５）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答６）,問22　次のもののうち、経済的理由のためにあなたの世帯にないものはありますか。（複数回答７）,問23　最後に通った学校／A　母親,問23　最後に通った学校／B　父親,問231　学校を卒業したか／A　母親,問231　学校を卒業したか／A　母親　3　その他,問231　学校を卒業したか／B　父親,問231　学校を卒業したか／B　父親　3　その他,問24　あなたが15歳前後当時の、あなたのご家庭の暮らしの状況について、最も近いものを教えてください。,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答１）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答２）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答３）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答４）,問25　あなたは、成人する前に以下のような体験をしたことがありますか。（複数回答５）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答１）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答２）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答３）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答４）,問26　あなたはお子さんをもってから、以下のような経験をしたことがありますか。（複数回答５）,問27　A　現在の受け取り方法（複数回答１）,問27　A　現在の受け取り方法（複数回答２）,問27　A　現在の受け取り方法（複数回答３）,問27　A　現在の受け取り方法（複数回答４）,問27　A　現在の受け取り方法（複数回答５）,問27　A　現在の受け取り方法（複数回答６）,問27　A　現在の受け取り方法（複数回答７）,問27　A　７　その他,問27　B　今後、受け取りたい方法（複数回答１）,問27　B　今後、受け取りたい方法（複数回答２）,問27　B　今後、受け取りたい方法（複数回答３）,問27　B　今後、受け取りたい方法（複数回答４）,問27　B　今後、受け取りたい方法（複数回答５）,問27　B　今後、受け取りたい方法（複数回答６）,問27　B　今後、受け取りたい方法（複数回答７）,問27　B　７　その他,問28　あなたは、本当に困ったときや悩みがあるとき、相談できる人（家族、友人、親戚、同僚など）がいますか。,問29　Ａ　市役所の窓口,問29　Ｂ　子ども家庭支援センター,問29　Ｃ　学校・保育所・幼稚園の先生、スクールカウンセラーなど,問29　Ｄ　民生委員・児童委員,問29　Ｅ　児童相談所,問29　Ｆ　ハローワーク,問29　Ｇ　上記以外の公的機関,問30　あなたは「子どもの権利条約」について知っていますか。,問31　あなたが狛江市に期待することなどがありましたら、ご自由にお書きください。,学年,生活困難度,世帯タイプ,生活困難度（統合）,世帯タイプ（統合）,問９2　１週間の平均労働時間／A　母親,問９2　１週間の平均労働時間／B　父親
1,2,,50,3,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,2,1,,,13,60,7,,,,,,6,,,,,,月2回ほど土日も勤務の時がある。,4,13,,4,5,,,,,子どもが希望するなら。,3,3,2,2,1,,1,3,4,4,1,4,2,1,4,4,1,4,2,4,4,2,2,2,2,3,3,3,2,1,1,3,1,1,1,1,6,,,,,,,8,8,1,,1,,4,8,,,,,7,,,,,1,4,6,,,,,,4,5,,,,,,,1,4,4,1,5,5,5,5,3,子どもの教育について、親の経済の有無に関係なく、自身が希望する教育を受けることが可能であること。就学前に子ども園に通ったが、無認可だったため、市役所に相談したが補助を受けることができませんでした。子どもに合った教育を選んだにもかかわらず、市民としての権利を受けることができず、とても残念でしたし、不信感がわきました。,1,,1,,1,2,7
2,2,,39,1,2,8,,,,,,2,8,,,,,,,,,,,1,,,2,1,2,,1,1,3,1,,,38,,5,,,,,,1,2,3,4,5,,,5,,,4,6,,,,,,3,3,4,2,7,別居中の夫が住所変更をしてくれないため申請できない。,1,2,3,3,1,3,2,1,1,4,1,1,2,4,4,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,1,3,4,6,,,,,,,,,,,,,1,1,2,1,2,2,4,1,,,1,3,3,2,2,4,
3,2,,48,2,1,2,,,,,,1,2,,,,,,,,,,,,,,1,,2,1,1,1,3,1,,,20,50,7,,,,,,7,,,,,,,3,10,,4,1,2,3,,,,3,3,3,2,4,,1,2,4,3,2,3,2,1,1,4,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,5,,,,,1,3,4,5,6,,,,1,3,5,6,,,,,1,2,1,2,2,2,1,2,2,公園の数は多いが、狭く、ボール歩び等で思いきり遊べる場所がないので、市民グラウンドなど開放してほしい。図書館が狭く、蔵書数も少ないので、もっと充実させてほしい。,1,3,1,2,1,3,6
4,2,,48,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,1,1,1,1,4,,,9,7,7,,,,,,6,,,,,,出張の場合何日か不在になる。,6,5,,2,1,3,4,,,,1,1,2,1,,,1,1,3,4,2,2,3,1,1,1,1,2,3,2,3,2,2,2,2,2,3,3,1,1,1,3,1,3,1,1,7,,,,,,,8,2,1,,1,,3,8,,,,,7,,,,,1,4,6,,,,,,1,3,4,6,,,,,1,1,1,1,5,5,1,,3,発達しょう害、グレーゾーンの子への支援、固定級に行くほどではないが、普通級の30人くらいのクラスでの学習だとついていくのが難しい、そういった子の勉強の補助してくれるシステムが必要、学びに少し時間がかかるが時間をかければ習得できる子たちが、今の学校システムではおいてきぼりになり、自信を失い、おちこぼれてしまっている。現状、そういう子は塾に行って補うしかないようだが、経済的に厳しいし、そもそも勉強に苦手意識を持ってしまっているので、塾に行きたがらないという現実がある。,1,1,1,1,1,1,1
5,2,,40,2,1,8,,,,,,1,8,,,,,,,,,,,1,,,1,,2,1,1,1,1,1,,,40,50,4,5,,,,,4,5,,,,,,7,8,,4,6,,,,,,1,1,2,2,4,,1,1,3,2,4,4,2,1,1,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,7,,,,,4,6,,,,,,,4,5,,,,,,,1,2,2,2,2,2,2,2,4,特に期待していません。,1,,,,,5,6
6,2,,45,2,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,3,1,,,18,100,4,,,,,,2,4,5,,,,,3,10,,4,2,,,,,,1,1,4,2,1,,1,2,3,3,1,3,3,1,1,1,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,4,,,,,2,3,6,,,,,,2,3,6,,,,,,1,2,1,1,2,2,1,2,2,公園が、幼児向けのものばかりなので、高学年や大人もすごしやすい場所を考えて作ってほしい。,1,3,1,2,1,2,8
7,2,,43,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,1,1,3,4,,,19.5,60,4,,,,,,4,,,,,,,4,8,,4,1,2,,,,,1,1,3,2,4,,1,2,4,4,2,2,2,1,4,1,1,1,2,4,4,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,,,,,,,,2,2,1,,1,,3,8,,,,,7,,,,,4,5,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,4,,1,3,1,2,1,2,7
8,2,,38,1,1,2,3,4,8,,,1,2,3,4,8,,,1,1,,,,1,,,1,,1,1,1,1,1,4,,,36,45,4,5,,,,,4,5,,,,,,5,6,,4,1,2,,,,,1,1,3,2,4,,1,1,2,2,1,2,2,1,4,1,1,1,1,4,4,2,2,2,2,2,2,3,1,1,2,2,1,1,1,1,8,,,,,,,7,8,1,,1,,3,8,,,,,7,,,,,8,,,,,,,,8,,,,,,,,1,2,2,2,2,2,1,2,2,,1,3,2,2,1,4,5
9,2,,39,1,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,5,1,2,,,60,,,,,,,7,,,,,,,1,12,,4,5,,,,,特別な理由がなければ、進んでほしいと思うから。,3,1,3,2,4,,1,1,3,2,1,2,2,1,1,4,1,1,2,4,4,2,2,2,2,3,2,3,1,1,1,1,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,4,,,,,1,3,4,6,,,,,1,3,4,5,6,,,,1,2,1,1,2,2,1,2,3,・所得制限なしで、中学3年までできれば高校卒業まで23区と同様に、医療費を無料にしてほしい。　・給食費も所得制限なしで無償化にしてほしい。,1,3,1,2,1,,7
10,2,,38,1,2,5,8,,,,,2,5,8,,,,,,,1,,,1,,,2,3,2,1,1,1,1,7,,,40,,7,,,,,,,,,,,,,5,,,4,2,,,,,,1,1,4,1,,,1,2,3,3,2,3,3,1,3,3,1,1,2,4,4,2,2,2,2,2,2,3,1,1,2,2,1,1,1,1,8,,,,,,,8,8,1,,1,,2,8,,,,,7,,,,,1,2,3,4,5,6,,,1,2,3,4,5,6,,,1,1,1,1,2,2,1,2,3,物価高に対して給料は全然上がらないため、買えないという事は今のところありませんが、買い控えはしています。物価高に対しての補助等があるととても助かります。家賃が高いと感じています。子どもの学区を考えるとあまり引越しをさせない地域で家探しますが、補助があるととても嬉しいです。いつも大変お世話になり感謝しています。ありがとうございます！。,1,2,3,1,2,5,
11,2,,38,1,1,2,7,,,,,1,2,7,,,,,,,,,1,,,,1,,2,1,1,1,3,1,,,26,45,4,,,,,,7,,,,,,,4,10,,4,2,,,,,,1,3,4,2,4,,1,2,3,2,1,3,3,1,4,1,4,1,2,4,4,2,2,2,2,2,2,3,1,1,1,2,1,1,1,1,8,,,,,,,8,8,1,,1,,3,8,,,,,2,,,,,6,,,,,,,,4,5,6,,,,,,1,2,2,2,2,2,2,2,2,,1,3,1,2,1,3,5
12,2,,44,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,2,1,1,3,4,,,25,45,4,5,,,,,2,,,,,,,4,7,,5,3,4,,,,,3,1,3,2,7,今は申請要件を満たしていないが、必要で（満たしていた）過去は援助制度を知らずに申請できず、とても後悔した。,1,3,3,4,1,4,3,1,2,1,2,2,2,,,,,,,,,,2,1,1,3,1,3,1,1,3,,,,,,,8,8,1,,1,,3,8,,,,,7,,,,,3,4,6,,,,,,1,2,3,5,6,,,,1,2,1,1,2,2,2,2,3,狛江市では星山麻木先生という素晴らしい方が「発達支援セミナー」をやってくださっているので、学校の先生方や子供にまつわる現場の方、お偉い方々にもぜひ聞いていただきたいと思う。もっと発達支援が必要な子供たちに必要な支援、全ての子供に柔軟に対応していただきたいと思う。,1,,1,,1,3,5
13,2,,38,1,1,2,8,,,,,1,2,8,,,,,,,,,,1,,,1,,2,1,1,1,1,1,,,60,50,5,6,,,,在宅での仕事をしている。,2,3,4,5,,,,5,8,,5,5,,,,,子供がしたいと思う希望をその時に聞いて決めるため、私はどちらでも何でも良いと思います。,3,1,2,2,1,,2,2,4,2,1,2,2,3,3,3,1,1,2,4,2,2,2,2,2,2,2,2,1,1,1,3,1,1,1,1,6,,,,,,,7,8,1,,1,,3,5,,,,,5,6,,,,2,4,6,,,,,,2,5,6,,,,,,1,1,2,1,,2,2,2,3,夕方など子供たちの安全のために見まわりなどして頂けるとうれしいです。,1,2,1,1,1,6,6
14,2,,41,2,1,2,5,8,,,,1,2,5,8,,,,,,1,,,1,,,1,,2,1,1,1,3,1,,,9,45,7,,,,,,4,,,,,,,2,9,1,5,6,,,,,,3,3,4,2,1,,1,1,2,2,2,2,2,1,1,1,1,1,2,4,4,2,2,2,2,2,2,3,1,1,1,2,1,1,1,1,8,,,,,,,8,7,1,,1,,3,4,,,,,7,,,,,1,3,4,6,,,,,1,2,3,4,,,,,1,1,,1,,,1,,1,子どもが安心して遊べる場所を確保してほしい。公園や児童館の充実。多摩川住宅二号棟の建てかえにともない公園はどうなる？中央図書館をわけないでほしい。大人と子どもが一つの空間でつながれる図書館にしてほしい。給食費全員無償化を実現してほしい。保健所がないため、あいとぴあセンターがそのかわりを担っているが、コロナの際に困った。きちんと機能する機関の充実を希望します。,1,3,1,2,1,1,5
15,2,,45,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,1,1,1,3,1,,,18,72,4,5,,,,,1,2,3,4,5,,,1,,,5,1,2,3,4,,,3,1,4,2,1,,1,2,4,4,1,3,4,1,3,4,1,1,2,4,3,2,2,2,2,3,2,2,1,1,3,3,1,1,1,1,7,,,,,,,5,5,1,,1,,3,8,,,,,7,,,,,2,3,4,5,6,,,,2,3,4,5,,,,,,,1,1,,1,,,4,,1,,1,,1,2,8
16,2,,48,2,1,2,5,,,,,1,2,5,,,,,,,1,,,,,,1,,2,2,1,1,5,1,2,,,8,,,,,,,2,4,5,,,,,1,10,,2,1,,,,,,1,1,4,2,4,,1,1,4,2,1,3,3,4,1,4,1,1,1,4,4,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,8,,,,,,,2,8,1,,1,,3,8,,,,,7,,,,,1,2,4,5,,,,,1,2,4,5,,,,,1,2,2,2,2,2,1,2,4,,1,3,1,2,1,,1
17,2,,46,2,1,2,6,,,,,1,2,6,,,,,,,,1,,,,,1,,2,2,1,1,1,1,,,8.5,10,7,,,,,,2,,,,,,,8,10,,4,1,2,,,,,3,1,3,2,4,,1,3,4,3,1,3,3,1,4,1,4,4,2,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,6,7,1,,1,,2,8,,,,,7,,,,,2,4,5,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,,1,3,1,2,1,1,2
