年度（和暦）,年度（西暦）,小売店舗数（店）,　　　総数（千本）,１世帯当たりの本数（本）,1人当たりの本数（本）,総税額（千本）,１世帯当たりの税額（円）,1人当たりの税額（円）
平成30年度,2018,25,68702,1630,987,339308,8049,4876
平成31年度,2019,23,60272,1412,859,341301,7996,4864
令和２年度,2020,22,67582,1572,962,362409,8432,5159
令和３年度,2021,20,65496,1518,935,382650,8871,5460
令和４年度,2022,20,59458,1375,851,389568,9012,5573

       ,,,,,,,,
