選挙の種類（大分類）,選挙の種類（小分類）,執行日(和暦),執行日(西暦),当日有権者(総数),当日有権者(男),当日有権者(女),投票者数(総数),投票者数(男),投票者数(女),投票率(平均),投票率(男),投票率(女),有効投票数,候補者数,当選者数,投票所数
衆議院議員選挙,小選挙区,平26.12.14,20141214,65833,31800,34033,37385,18318,19067,56.79,57.6,56.03,36267, - , - ,14
衆議院議員選挙,比例代表,平26.12.14,20141214,65833,31800,34033,37374,18314,19060,56.77,57.59,56,36592, - , - ,14
衆議院議員選挙,小選挙区,平29.10.22,20171022,69233,33293,35940,39084,18941,20143,56.45,56.89,56.05,38319, - , - ,14
衆議院議員選挙,比例代表,平29.10.22,20171022,69233,33293,35940,39071,18937,20134,56.43,56.88,56.02,38574, - , - ,14
衆議院議員選挙,小選挙区,令3.10.31,20211031,70478,33743,36735,43071,20655,22416,61.11,61.21,61.02,41978, - , - ,14
衆議院議員選挙,比例代表,令3.10.31,20211031,70478,33743,36735,43071,20654,22417,61.11,61.21,61.02,42327, - , - ,14
最高裁判所裁判官国民審査,,平26.12.14,20141214,65702,31737,33965,36257,17790,18467,55.18,56.05,54.37,35162, - , - ,14
最高裁判所裁判官国民審査,,平29.10.22,20171022,69092,33231,35861,38916,18849,20067,56.32,56.72,55.96,38156, - , - ,14
最高裁判所裁判官国民審査,,令3.10.31,20211031,70341,33683,36658,42976,20602,22374,61.1,61.16,61.03,42200, - , - ,14
参議院議員選挙,東京都選出,平28.7.10,20160710,68197,32876,35321,39942,19386,20556,58.57,58.97,58.2,38500, - , - ,14
参議院議員選挙,比例代表,平28.7.10,20160710,68197,32876,35321,39933,19379,20554,58.56,58.95,58.19,38694, - , - ,14
参議院議員選挙,東京都選出,令1.7.21,20190721,70329,33699,36630,38961,18912,20049,55.4,56.12,54.73,37764, - , - ,14
参議院議員選挙,比例代表,令1.7.21,20190721,70329,33699,36630,38953,18908,20045,55.39,56.11,54.72,38030, - , - ,14
参議院議員選挙,東京都選出,令4.7.10,20220710,70205,33572,36633,40820,19517,21303,58.14,58.13,58.15,39418, - , - ,14
参議院議員選挙,比例代表,令4.7.10,20220710,70205,33572,36633,40814,19513,21301,58.14,58.12,58.15,39664, - , - ,14
東京都知事選挙,,平26.2.9,20140209,64483,31193,33290,32822,16006,16816,50.9,51.31,50.51,32471,16,1,14
東京都知事選挙,,平28.7.31,20160731,67772,32599,35173,42441,20018,22423,62.62,61.41,63.75,41999,21,1,14
東京都知事選挙,,令2.7.5,20200705,69772,33415,36357,41561,19517,22044,59.57,58.41,60.63,40997,22,1,14
東京都議会議員選挙,,平25.6.23,20130623,63676,30863,32813,27208,13321,13887,42.73,43.16,42.32,26691,4,2,14
東京都議会議員選挙,,平29.7.2,20170702,67952,32660,35292,37254,17945,19309,54.82,54.94,54.71,36464,6,3,14
東京都議会議員選挙,補欠選挙,令2.7.5,20200705,69763,33408,36355,40300,18960,21340,57.77,56.75,58.7,37527,3,1,14
東京都議会議員選挙,,令3.7.4,20210704,69566,33277,36289,32959,15663,17296,47.38,47.07,47.66,32357,5,3,14
狛江市長選挙,,平28.6.19,20160619,65386,31461,33925,30741,14606,16135,47.01,46.43,47.56,30289,2,1,14
狛江市長選挙,,平30.7.22,20180722,68526,32908,35618,31047,14757,16290,45.31,44.84,45.74,30597,2,1,14
狛江市長選挙,,令4.6.26,20220626,68844,32922,35922,29785,14000,15785,43.26,42.52,43.94,29448,2,1,14
狛江市議会議員選挙,,平27.4.26,20150426,64424,31056,33368,32213,15227,16986,50,49.03,50.91,31779,27,22,14
狛江市議会議員選挙,,平31.4.21,20190421,68340,32773,35567,33795,16024,17771,49.45,48.89,49.96,33362,29,22,14
狛江市議会議員選挙,補欠選挙,令4.6.26,20220626,68844,32922,35922, - , - , - , - , - , - , - ,1,1, - 
