市名,都営住宅,福祉住宅等,都民住宅（都施行）,都民住宅（その他）,公営住宅（公営）　公営住宅（その他）,,高優賃（都施行）,高優賃（市施行）,公社一般賃貸住宅,都市機構賃貸住宅
八王子,10732,0,608,0,1489,0,0,0,3723,7867
立川,5002,0,58,0,545,5,0,0,1750,4957
武蔵野,1966,0,2,27,256,53,0,0,0,1975
三鷹,3896,0,85,15,129,16,0,0,0,2696
青梅,405,0,16,0,699,0,0,0,1008,0
府中,4621,0,44,14,679,77,0,0,0,1203
昭島,3925,0,16,0,20,13,0,0,991,1500
調布,4285,0,82,10,279,11,0,0,670,3069
町田,8031,0,125,0,548,7,0,0,9830,8661
小金井,654,0,0,0,173,20,0,0,1042,602
小平,5470,0,14,0,27,11,0,0,21,2785
日野,2764,0,8,0,640,2,12,17,906,5318
東村山,5686,0,35,0,91,0,0,0,682,1432
国分寺,1687,0,3,0,20,13,0,0,405,843
国立,1980,0,470,0,0,0,0,0,0,2396
福生,757,0,2,0,318,5,0,0,1634,864
狛江,1801,0,0,0,45,3,0,0,786,10
東大和,3073,0,3,0,26,1,0,0,2094,0
清瀬,3681,0,40,0,131,1,0,13,1140,2129
東久留米,2567,0,9,0,0,1,22,46,2865,2136
武蔵村山,4322,0,1,0,22,0,0,0,0,213
多摩,4590,0,4,0,112,1,0,0,1630,6014
稲城,1240,0,146,0,10,0,0,0,1650,1402
羽村,349,0,1,0,131,0,0,0,0,840
あきる野,0,0,0,0,211,0,0,0,0,0
西東京,5488,0,179,0,40,29,0,0,841,4255
