年度（和暦）,年度（西暦）,登録者1人当たり貸出冊数（冊）,市民1人当たり蔵書冊数（冊）,市民1人当たり図書受入（冊）,登録者1人当たり図書受入（冊）,市民1人当たり図書購入費（円）
平成29年度,2017,20.8,3.59,0.18,0.58,232
平成30年度,2018,20.77,3.54,0.17,0.56,229
平成31年度,2019,20.35,3.53,0.16,0.54,228
令和２年度,2020,17.52,3.6,0.16,0.56,235
令和３年度,2021,21.17,3.66,0.17,0.59,229
令和４年度,2022,21.17,3.68,0.16,0.56,230
