西暦（暦年）,和暦（暦年）,定例会招集回数,定例会会議日数,定例会提出議案総数,定例会提出議案市長提出,定例会提出議案議員提出,臨時会招集回数,臨時会会議日数,臨時会提出議案総数,臨時会提出議案市長提出,臨時会提出議案議員提出
2017年,平成29年,4,23,67,63,4,1,1,4,4,0
2018年,平成30年,4,23,83,74,9,1,1,2,2,0
2019年,平成31年,4,23,88,79,9,1,1,8,8,0
2020年,令和２年,4,21,104,92,12,0,0,0,0,0
2021年,令和３年,4,23,66,59,7,1,1,8,8,0
2022年,令和４年,4,23,72,65,7,1,1,1,1,0
