西暦（暦年）,和暦（暦年）,学校の土地（㎡）,学校の建物（㎡）,公園の土地（㎡）,公園の建物（㎡）,その他の施設の土地（㎡）,その他の施設の建物（㎡）
2017年度,平成29年度,146837,68884,78288,350,74339,42995
2018年度,平成30年度,146837,68928,78288,350,74868,43676
2019年度,平成31年度,146837,68878,78288,350,75926,43920
2020年度,令和２年度,146837,68878,78288,350,76238,45702
2021年度,令和３年度,146837,69138,78288,350,76238,46006
