施設,一般書（０総記）,一般書（１哲学）,一般書（２歴史）,一般書（３社会科学）,一般書（４自然科学）,一般書（５技術）,一般書（６産業）,一般書（７芸術）,一般書（８言語）,一般書（９文学）,一般書（行政・郷土）,一般書（その他）,児童書（０総記）,児童書（１哲学）,児童書（２歴史）,児童書（３社会科学）,児童書（４自然科学）,児童書（５技術）,児童書（６産業）,児童書（７芸術）,児童書（８言語）,児童書（９文学）,児童書（行政・郷土）,児童書（絵本）,児童書（その他）
中央図書館,5398,5038,12335,17371,8013,6791,2766,9942,2115,44426,12553,715,572,350,2020,1810,3764,1223,881,1648,506,18042,493,17685,2396
野川地域センター図書室,162,333,1055,1057,949,1259,304,1050,183,6300,221,4,75,90,412,260,705,183,142,528,68,3685,31,4074,108
上和泉地域センター図書室,154,299,1184,929,946,1569,317,1729,172,9637,268,9,90,51,308,281,725,275,158,1219,66,2957,16,3768,146
岩戸地域センター図書室,92,245,868,565,596,1198,164,834,78,7876,179,11,63,65,326,243,609,247,189,284,113,2818,5,4199,295
南部地域センター図書室,90,248,797,770,623,1190,265,879,106,5374,421,4,90,83,403,357,941,207,175,424,134,3517,6,3930,202
西河原公民館図書室,478,365,1398,1765,1104,1672,518,2223,218,9178,527,97,105,56,334,504,659,220,147,349,73,4663,8,4530,306
