年度（西暦）,地域別状況のうち住居地域（件）,地域別状況のうち近隣商業地域（件）,地域別状況のうち商業地域（件）,地域別状況のうち準工業地域（件）,地域別状況のうち調整地域（件）,地域別状況のうち不明（件）,現象別の状況のうち大気汚染（件）,現象別の状況のうち水質汚濁（件）,現象別の状況のうち土壌汚染（件）,現象別の状況のうち騒音（件）,現象別の状況のうち振動（件）,現象別の状況のうち地盤沈下（件）,現象別の状況のうち悪臭（件）,現象別の状況のうちその他（件）,発生源別の状況のうち工場（件）,発生源別の状況のうち指定作業所（件）,発生源別の状況のうち建設作業（件）,発生源別の状況のうち一般（件）
2017,84, - , - ,2, - , - ,9, - , - ,20, - , - ,2,55,1,3,8,77
2018,75,5, - ,1,1, - ,2, - , - ,14,1, - ,4,61, - ,2,11,69
2019,57,3, - ,3, - , - ,7,1, - ,10,3, - ,3,39, - ,2,8,53
2020,53,5, - ,2, - , - ,1, - , - ,19,2,1,5,32,1,2,11,46
2021,62,3,2,10, - , - ,3, - , - ,25,2, - ,3,44, - , - ,10,67
