年度（和暦）,年度（西暦）,料金（円）,総数（件）,総数のうち「封書」（通）,総数のうち「はがき」（枚）,総数のうち「書留」（通）,総数のうち「現金書留」（通）,総数のうち「特定記録」（通）,総数のうち「ゆうメール」（通）,月平均（件）,前年度比
平成29年度,2017,12115507,134485,125640,2645,735,38,272,5155,11207.08333,0.054916695
平成30年度,2018,12424205,133507,125590,3537,803,33,301,3243,11125.58333,-0.007272186
平成31年度,2019,12739859,133931,127130,3390,870,54,287,2200,11160.91667,0.003175863
令和２年度,2020,15129375,144846,135906,4718,1145,53,608,2416,12070.5,0.082497189
令和３年度,2021,14970136,149480,141684,3474,1195,39,466,2622,12456.66667,0.031992599
令和４年度,2022,13866678,141117,132869,3483,1337,64,569,2795,11759.75,0.055947
