区分年度（和暦）,区分年度（西暦）,収益的収入（円）,収益的支出（円）,資本的収入（円）,資本的支出（円）
平成29年,2017,-,-,-,-
平成30年,2018,-,-,-,-
平成31年,2019,-,-,-,-
令和２年,2020,1402740552,1272072320,219752248,374325525
令和３年,2021,1419047703,1257299663,489602439,675662397
令和４年,2022,1425959011,1305531037,334038181,495976738
