年（和暦）,年（西暦）,0 ～ 4歳,5 ～ 9歳,10 ～ 14歳,15 ～ 19歳,20 ～ 24歳,25 ～ 29歳,30 ～ 34歳,35 ～ 39歳,40 ～ 44歳,45 ～ 49歳,50 ～ 54歳,55 ～ 59歳,60 ～ 64歳,65 ～ 69歳,70 ～ 74歳,75 ～ 79歳,80 ～ 84歳,85 ～ 89歳,90 ～ 94歳,95 ～ 99歳,100歳以上,不      詳
平成17年,2005年,"1,449","1,391","1,380","1,691","2,882","3,276","3,582","3,144","2,581","2,182","2,118","2,758","2,666","2,410","2,179","1,609","1,011",541,235,93,8,2
平成22年,2010年,"1,337","1,382","1,440","1,662","2,408","2,874","2,939","3,271","3,105","2,459","2,155","2,119","2,706","2,632","2,360","2,098","1,439",768,354,95,24,299
平成27年,2015年,"1,580","1,337","1,412","1,733","2,314","2,460","2,822","2,930","3,176","3,123","2,493","2,125","2,046","2,599","2,485","2,191","1,858","1,140",464,127,25,603
令和２年,2020年,"1,621","1,651","1,436","1,614","2,486","2,659","2,609","2,935","3,026","3,309","3,208","2,534","2,111","2,027","2,550","2,351","1,965","1,567",805,205,30,"1,030"
