物件,年度当初（件）,年度中差押（件）,解除(無配当含）（件）,公売（換価含）（件）,未完結（件）
電話加入権,0,0,0,0,0
不動産,22,1,4,1,18
国税還付金,0,17,0,17,0
給与債権,8,44,9,31,12
預金債権,4,721,33,689,3
賃貸料債権,1,1,0,2,0
その他債権,30,29,15,19,25
動産,0,0,0,0,0
