区分,合計学級数,1年学級数,2年学級数,3年学級数,特別支援学級数
全校,47,14,14,14,5
第一中,15,4,4,4,3
第二中,12,4,4,4,
第三中,11,3,3,3,2
第四中,9,3,3,3,
