年度（和暦）,年度（西暦）,採用（人）,退職総数（人）,退職（人）,死亡（人）
平成30年度,2018,9,9,9,0
平成31年度,2019,18,22,22,0
令和2年度,2020,28,14,14,0
令和3年度,2021,11,4,4,0
令和4年度,2022,9,17,17,0
