区分,事業所数,従業者数（人）,製造品出荷額等（万円）
総数,24,421,"843,800"
４～９,11,55,"50,898"
10～19,6,78,"110,064"
20～29,3,85,"296,969"
30～49,3,118, x 
50～99,1,85, x 
100～199, - , - , - 
200～299, - , - , - 
300～499, - , - , - 
500～999, - , - , - 
