年（和暦）,年（西暦）,管理的職業従事者（男）,専門的・技術的職業従事者（男）,事務従事者（男）,販売従事者（男）,サービス職業従事者（男）,保安職業従事者（男）,農林漁業従事者（男）,生産工程従事者（男）,輸送・機械運転従事者（男）,建設・採掘従事者（男）,運搬・清掃・包装等従事者（男）,分類不能の職業従事者（男）,管理的職業従事者（女）,専門的・技術的職業従事者（女）,事務従事者（女）,販売従事者（女）,サービス職業従事者（女）,保安職業従事者（女）,農林漁業従事者（女）,生産工程従事者（女）,輸送・機械運転従事者（女）,建設・採掘従事者（女）,運搬・清掃・包装等従事者（女）,分類不能の職業従事者（女）
平成22年,2010年,862,4018,3341,3302,1584,455,215,1509,708,1310,1016,2617,128,2971,4676,2132,2461,57,73,636,19,22,646,1681
平成27年,2015年,782,4566,3395,3220,1515,436,243,1349,753,1239,1040,1724,135,3233,5119,2112,2586,42,62,670,30,30,708,1331
令和２年,2020年,699,5309,4038,2980,1614,491,207,1255,756,1179,1245,599,108,4140,6207,2327,2845,65,72,762,36,34,816,595
