年,学校数,学級数,生徒総数（人）,生徒児童総数（人）,生徒児童総数（人）,１年男子（人）,１年女子（人）,２年男子（人）,２年女子（人）,３年男子（人）,３年女子（人）
2012年,4,44,1375,715,660,214,205,276,226,225,229
2013年,4,43,1250,618,632,250,201,90,205,278,226
2014年,4,42,1316,706,610,237,201,252,200,217,209
2015年,4,42,1331,721,610,229,201,240,204,252,205
2016年,4,41,1349,725,624,254,214,229,199,242,211
2017年,4,43,1360,695,665,207,250,255,216,233,199
2018年,4,44,1320,677,643,213,182,209,245,255,216
2019年,4,42,1286,641,645,213,217,215,181,213,247
2020年,4,41,1289,671,618,238,218,214,215,219,185
2021年,4,45,1365,713,652,258,215,238,219,217,218
2022年,4,47,1417,755,662,250,225,264,216,241,221
