年度（和暦）,年度（西暦）,中央図書館の蔵書冊数（冊）,中央図書館の貸出冊数（冊）,中央図書館の登録者数（人）,野川地域センター図書室の蔵書冊数（冊）,野川地域センター図書室の貸出冊数（冊）,野川地域センター図書室の登録者数（人）,上和泉地域センター図書室の蔵書冊数（冊）,上和泉地域センター図書室の貸出冊数（冊）,上和泉地域センター図書室の登録者数（人）,岩戸地域センター図書室の蔵書冊数（冊）,岩戸地域センター図書室の貸出冊数（冊）,岩戸地域センター図書室の登録者数（人）,南部地域センター図書室の蔵書冊数（冊）,南部地域センター図書室の貸出冊数（冊）,南部地域センター図書室の登録者数（人）,西河原公民館図書室の蔵書冊数（冊）,西河原公民館図書室の貸出冊数（冊）,西河原公民館図書室の登録者数（人）,こまえ電子図書館のタイトル数（件）,こまえ電子図書館の貸出回数（回）,こまえ電子図書館の閲覧回数（回）
平成29年度,2017,169314,323596,18479,23215,40544,1406,26493,32882,972,20712,48599,1253,20880,34629,1189,33869,44545,1931,―,―,―
平成30年度,2018,169715,339000,18887,22734,41500,1369,26661,34327,928,20817,49094,1333,21065,35347,1249,32280,32001,1809,―,―,―
平成31年度,2019,170749,326364,18626,22466,21591,1305,26782,35573,927,21008,51365,1462,21331,35626,1219,32289,45074,1796,―,―,―
令和２年度,2020,173994,265560,17949,23102,28855,1247,27206,23088,840,21701,41162,1329,21141,30421,1172,32654,35314,1691,9664,6915,18220
令和３年度,2021,177409,339823,17864,23222,30335,1203,27527,22390,779,21966,43152,1262,21397,33665,1130,32628,34576,1564,11452,5975,16011
令和４年度,2022,178853,297843,17565,23238,38049,1154,27273,29114,755,22162,51462,1259,21236,37253,1120,31497,42674,1597,12879,5733,15074
