施設,書籍種別,他市町村（冊）,都立（冊）,23区（冊）,都外等（冊）,国会（冊）
中央図書館,一般書,2608,437,149,27,2
中央図書館,児童書,266,9,3,0,0
野川地域センター図書室,一般書,146,19,9,0,0
野川地域センター図書室,児童書,24,1,0,0,0
上和泉地域センター図書室,一般書,142,17,14,1,0
上和泉地域センター図書室,児童書,4,0,0,0,0
岩戸地域センター図書室,一般書,142,14,7,3,0
岩戸地域センター図書室,児童書,28,0,0,0,0
南部地域センター図書室,一般書,287,27,12,4,0
南部地域センター図書室,児童書,38,0,3,0,0
西河原公民館図書室,一般書,373,57,24,7,0
西河原公民館図書室,児童書,26,1,0,0,0
