西暦（暦年）,和暦（暦年）,有償貸付面積（㎡）,有償貸付金額（千円）,有償貸付件数（件）,無償貸付面積（㎡）,無償貸付件数（件）
2017年度,平成29年度,5791.32,3888,13,6713.88,14
2018年度,平成30年度,5791.47,3916,14,6713.88,14
2019年度,平成31年度,6483.21,4091,15,6922.21,17
2020年度,令和２年度,6483.21,4265,15,6922.99,19
2021年度,令和３年度,6483.21,4265,15,6922.99,19
