施設,日曜日,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日
中央図書館,18454,15844,2118,20310,16110,16047,18734
野川地域センター図書室,2299,1327,762,1720,1519,1385,2341
上和泉地域センター図書室,1781,1283,676,1410,1357,1137,1790
岩戸地域センター図書室,2926,2115,1116,2695,2382,2054,2953
南部地域センター図書室,2329,1524,728,1685,1535,1477,2013
西河原公民館図書室,3440,2045,1227,2659,2430,2499,3129
