年度（和暦）,年度（西暦）,区分,所得割額(千円),均等割額(千円),納税義務者(人)
平成30年度,2018,総額,6454992,154467,44706
平成31年度,2019,総額,6764548,157455,46118
令和２年度,2020,総額,6719594,160043,46038
令和３年度,2021,総額,6739325,160220,45995
令和4年度,2022,総額,6931311,160643,46039
令和4年度,2022,普通徴収,1688535,40315,11805
令和4年度,2022,給与特別徴収,4961543,103470,30559
令和4年度,2022,年金特別徴収,281233,16858,3675
