区分,総数 (人),給与所得者(人),営業等所得者(人),農業所得者(人),その他の所得者(人),分離課税所得者(人)
10万円以下の金額,1257,782,90, - ,260,125
10 万円を超え100 万円以下,11059,7455,625, - ,2858,121
100万円を超え200万円以下,12279,10346,460, - ,1347,126
200万円を超え300万円以下,7356,6467,276, - ,514,99
300万円を超え400万円以下,4029,3556,158, - ,230,85
400万円を超え550万円以下,3372,2952,160,1,153,106
550万円を超え700万円以下,1645,1399,88,1,96,61
700万円を超え1000万円以下,1567,1287,98, - ,104,78
1000万円を超える金額,1275,921,100, - ,146,108
