国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,-9532,-4360,26895,31255,-365,35235,35600,-909,8893,9802,-3898,-4584
総数,1,13100,区部,-9485,-4540,20357,24897,-1397,25983,27380,-44,6538,6582,-3504,-4988
総数,4,13101,千代田区,173,86,224,138,80,312,232,23,56,33,-16,190
総数,4,13102,中央区,-73,-68,432,500,-19,679,698,99,155,56,-85,-53
総数,4,13103,港区,-373,-125,612,737,-177,902,1079,105,231,126,-176,-158
総数,4,13104,新宿区,-721,-143,995,1138,-176,1563,1739,42,240,198,-444,-146
総数,4,13105,文京区,-278,-122,479,601,-112,751,863,65,182,117,-109,-96
総数,4,13106,台東区,-141,-44,566,610,1,842,841,-30,155,185,-68,22
総数,4,13107,墨田区,-111,-2,723,725,-48,923,971,-22,189,211,-39,-23
総数,4,13108,江東区,-514,-286,1032,1318,161,1461,1300,3,375,372,-392,-157
総数,4,13109,品川区,-277,-196,957,1153,-146,1106,1252,86,353,267,-21,-256
総数,4,13110,目黒区,-287,-181,610,791,-55,994,1049,29,199,170,-80,-213
総数,4,13111,大田区,-794,-388,1733,2121,-174,1151,1325,-81,472,553,-151,-591
総数,4,13112,世田谷区,-695,-476,1866,2342,-118,2162,2280,92,632,540,-193,-463
総数,4,13113,渋谷区,-143,-28,611,639,-152,1014,1166,51,181,130,-14,-104
総数,4,13114,中野区,-455,-64,852,916,-130,1389,1519,-31,210,241,-230,-163
総数,4,13115,杉並区,-846,-332,1080,1412,-346,1681,2027,10,364,354,-178,-595
総数,4,13116,豊島区,-689,-151,805,956,-171,1157,1328,-42,155,197,-325,-272
総数,4,13117,北区,-467,-176,817,993,-66,972,1038,-19,247,266,-206,-232
総数,4,13118,荒川区,-429,-123,380,503,-111,570,681,-22,140,162,-173,-197
総数,4,13119,板橋区,-375,-250,1223,1473,165,1489,1324,-91,338,429,-199,-128
総数,4,13120,練馬区,-472,-409,1198,1607,89,1673,1584,-12,516,528,-140,-288
総数,4,13121,足立区,-436,-345,1154,1499,98,1188,1090,-176,421,597,-13,-444
総数,4,13122,葛飾区,-445,-245,755,1000,45,847,802,-75,287,362,-170,-279
総数,4,13123,江戸川区,-637,-472,1253,1725,-35,1157,1192,-48,440,488,-82,-342
