階層コード,地域コード,地域,人口総数／令和２年１０月１日,人口総数／令和元年１０月１日,人口総数／平成３０年１０月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14047594,14004097,13888986,43497,0.31,158608,1.14
1,13100,区部,9733276,9696700,9595054,36576,0.38,138222,1.44
1,13200,市部,4234381,4226314,4211747,8067,0.19,22634,0.54
1,13300,郡部,55476,56157,56860,-681,-1.21,-1384,-2.43
1,13350,島部,24461,24926,25325,-465,-1.87,-864,-3.41
,,,,,,,,,
東京都の人口（推計）(補正)_令和２年10月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
