階層コード,地域コード,地域,人口総数／令和２年12月１日,人口総数／令和元年12月１日,人口総数／平成30年12月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14039210,14017402,13907637,21808,0.16,131573,0.95
1,13100,区部,9724111,9709519,9612345,14592,0.15,111766,1.16
1,13200,市部,4235226,4226954,4213257,8272,0.2,21969,0.52
1,13300,郡部,55447,56030,56734,-583,-1.04,-1287,-2.27
1,13350,島部,24426,24899,25301,-473,-1.9,-875,-3.46
,,,,,,,,,
東京都の人口（推計）(補正)_令和２年12月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
