階層コード,地域コード,地域,人口総数／令和２年11月１日,人口総数／令和元年11月１日,人口総数／平成３０年１１月１日,前年同月との比較／増減数,前年同月との比較／増減率（％）,前々年同月との比較／増減数,前々年同月との比較／増減率（％）
0,13000,総数,14040236,14016134,13904463,24102,0.17,135773,0.98
1,13100,区部,9725535,9707653,9608940,17882,0.18,116595,1.21
1,13200,市部,4234866,4227467,4213435,7399,0.18,21431,0.51
1,13300,郡部,55402,56104,56792,-702,-1.25,-1390,-2.45
1,13350,島部,24433,24910,25296,-477,-1.91,-863,-3.41
,,,,,,,,,
東京都の人口（推計）(補正)_令和２年11月,,,,,,,,,
＜参考＞前年同月及び前々年同月との比較,,,,,,,,,
地域階層（0:総数　1:区部・市部・郡部・島部）,,,,,,,,,
