国籍,地域階層,地域コード,地域,全体の増減,他県との移動／増減,他県との移動／転入,他県との移動／転出,都内間移動／増減,都内間移動／転入,都内間移動／転出,自然動態／増減,自然動態／出生,自然動態／死亡,その他の増減,（別掲）日本人全体の増減
総数,0,13000,総数,-7358,-2911,28082,30993,-406,36946,37352,-1294,9019,10313,-2747,
総数,1,13100,区部,-7741,-3528,21219,24747,-1371,27152,28523,-292,6651,6943,-2550,
総数,4,13101,千代田区,139,56,178,122,58,326,268,21,53,32,4,
総数,4,13102,中央区,56,34,486,452,-59,688,747,115,197,82,-34,
総数,4,13103,港区,-400,-106,628,734,-191,991,1182,51,213,162,-154,
総数,4,13104,新宿区,-376,-53,1077,1130,-140,1573,1713,30,242,212,-213,
総数,4,13105,文京区,-241,-34,484,518,-156,722,878,45,194,149,-96,
総数,4,13106,台東区,45,70,613,543,101,838,737,-33,141,174,-93,
総数,4,13107,墨田区,-167,-70,718,788,-38,903,941,22,221,199,-81,
総数,4,13108,江東区,-247,-163,1099,1262,93,1444,1351,-14,346,360,-163,
総数,4,13109,品川区,-357,-180,984,1164,-194,1129,1323,74,325,251,-57,
総数,4,13110,目黒区,-297,-170,628,798,-130,1015,1145,50,209,159,-47,
総数,4,13111,大田区,-1144,-734,1633,2367,-208,1234,1442,-67,497,564,-135,
総数,4,13112,世田谷区,-625,-492,1760,2252,-67,2377,2444,20,614,594,-86,
総数,4,13113,渋谷区,-203,-59,568,627,-63,1152,1215,7,170,163,-88,
総数,4,13114,中野区,-513,14,897,883,-361,1326,1687,0,240,240,-166,
総数,4,13115,杉並区,-390,-125,1154,1279,-167,1891,2058,12,410,398,-110,
総数,4,13116,豊島区,-452,-127,820,947,-105,1310,1415,-22,186,208,-198,
総数,4,13117,北区,-230,-144,852,996,63,1020,957,-41,278,319,-108,
総数,4,13118,荒川区,-227,-16,517,533,-77,606,683,-33,150,183,-101,
総数,4,13119,板橋区,-439,-237,1245,1482,141,1505,1364,-128,360,488,-215,
総数,4,13120,練馬区,-424,-260,1386,1646,40,1810,1770,-58,468,526,-146,
総数,4,13121,足立区,-463,-268,1287,1555,78,1204,1126,-176,418,594,-97,
総数,4,13122,葛飾区,-250,-73,868,941,43,926,883,-114,260,374,-106,
総数,4,13123,江戸川区,-536,-391,1337,1728,-32,1162,1194,-53,459,512,-60,
総数,1,13200,市部,485,620,6787,6167,949,9650,8701,-907,2330,3237,-177,
総数,4,13201,八王子市,-65,6,803,797,116,806,690,-185,253,438,-2,
総数,4,13202,立川市,121,0,290,290,190,617,427,-51,112,163,-18,
総数,4,13203,武蔵野市,-4,15,250,235,-13,522,535,12,100,88,-18,
総数,4,13204,三鷹市,106,48,348,300,82,659,577,10,119,109,-34,
総数,4,13205,青梅市,59,67,156,89,77,249,172,-100,52,152,15,
総数,4,13206,府中市,128,321,719,398,-173,644,817,-11,173,184,-9,
総数,4,13207,昭島市,2,12,160,148,11,288,277,-43,66,109,22,
総数,4,13208,調布市,4,-90,344,434,122,700,578,-3,166,169,-25,
総数,4,13209,町田市,58,75,863,788,71,424,353,-82,213,295,-6,
総数,4,13210,小金井市,31,38,211,173,13,394,381,2,86,84,-22,
総数,4,13211,小平市,193,166,407,241,46,542,496,0,129,129,-19,
総数,4,13212,日野市,-44,-9,247,256,-21,422,443,-23,110,133,9,
総数,4,13213,東村山市,3,-31,187,218,117,338,221,-81,73,154,-2,
総数,4,13214,国分寺市,97,-5,206,211,101,428,327,7,97,90,-6,
総数,4,13215,国立市,-43,-7,113,120,-13,216,229,-22,30,52,-1,
