"オレンジカフェ名称","実施場所","経度","緯度","分類"
"オレンジカフェ　アロハ","上高田2-45-10 アロハデイサービス","139.669666600625","35.7121525261824","なかのオレンジカフェ開催場所"
"オレンジカフェラナイ","上高田5-47-11-101    ラナイ相談支援事業所","139.673145389235","35.7181370563972","なかのオレンジカフェ開催場所"
"オレンジカフェなごみ","野方1-42-19　カーサトリーゴ202","139.655907995514","35.7101085378765","なかのオレンジカフェ開催場所"
"小淀ホームスマイルcafe","中央1-18-3 小淀ホーム","139.687231032454","35.7002042347016","なかのオレンジカフェ開催場所"
"オレンジカフェふくろう","沼袋2-30-8　アークビル沼袋１階","139.663008620746","35.7221367387026","なかのオレンジカフェ開催場所"
"オレンジカフェ土屋","中央1-35-6 レッチフィールド中野坂上3階","139.684805568607","35.6968657939083","なかのオレンジカフェ開催場所"
"オレンジカフェ心温","上鷺宮3-6-2","139.633417181271","35.7324964153609","なかのオレンジカフェ開催場所"
"えこも亭","江古田3-14-19　江古田の森","139.665607841044","35.7298000144351","なかのオレンジカフェ開催場所"
"オレンジカフェ・カルナ","丸山1-25-14　グループホームcarna","139.655837452885","35.7250144105634","なかのオレンジカフェ開催場所"
"オレンジカフェきょうりつ","中野5-45-4　中野共立診療所4階","139.667324114926","35.7081099841369","なかのオレンジカフェ開催場所"
"オレンジカフェさぎのみや","鷺宮3-22-5  鷺宮区民活動センター","139.639785640592","35.7234334241724","なかのオレンジカフェ開催場所"
"おしゃべりカフェ","南台2-24-15 南台商店街振興組合会館","139.67196790293","35.6836152352165","なかのオレンジカフェ開催場所"
"Mikan Library（ミカンライブラリー）","白鷺1-14-8　しらさぎ桜苑３階","139.63922781834","35.7198520776494","なかのオレンジカフェ開催場所"
"気まぐれカフェ　ゆうあい","江古田2-24-11　グループホームゆうあい","139.664151126357","35.7273154224424","なかのオレンジカフェ開催場所"
"オレンジカフェ　in モモガルテン","中央2-57-7","139.676458163804","35.7012891218387","なかのオレンジカフェ開催場所"
"カフェ「陽だまりの輪」","中央4-57-1 桃園区民活動センター","139.667329508614","35.7022896069225","なかのオレンジカフェ開催場所"
"","","139.685260287881","35.7070132951081","なかのオレンジカフェ開催場所"
