年齢別人口　平成３０年４月１日現在,,,,
年齢,男,女,合計,
0,506,461,967,
1,535,528,"1,063",
2,530,535,"1,065",
3,577,586,"1,163",
4,593,594,"1,187",
5,565,548,"1,113",
6,617,570,"1,187",
7,596,609,"1,205",
8,660,627,"1,287",
9,646,607,"1,253",
小計,"5,825","5,665","11,490",
10,628,615,"1,243",
11,642,616,"1,258",
12,616,548,"1,164",
13,614,571,"1,185",
14,632,634,"1,266",
15,627,568,"1,195",
16,623,609,"1,232",
17,612,580,"1,192",
18,668,608,"1,276",
19,706,689,"1,395",
小計,"6,368","6,038","12,406",
20,771,717,"1,488",
21,817,787,"1,604",
22,785,785,"1,570",
23,802,778,"1,580",
24,772,717,"1,489",
25,710,713,"1,423",
26,699,637,"1,336",
27,683,659,"1,342",
28,667,665,"1,332",
29,721,668,"1,389",
小計,"7,427","7,126","14,553",
30,775,719,"1,494",
31,803,735,"1,538",
32,793,790,"1,583",
33,903,860,"1,763",
34,965,894,"1,859",
35,919,930,"1,849",
36,936,930,"1,866",
37,"1,060",939,"1,999",
38,"1,064",923,"1,987",
39,"1,083","1,022","2,105",
小計,"9,301","8,742","18,043",
40,"1,175","1,078","2,253",
41,"1,189","1,033","2,222",
42,"1,114","1,163","2,277",
43,"1,282","1,220","2,502",
44,"1,258","1,207","2,465",
45,"1,275","1,286","2,561",
46,"1,354","1,239","2,593",
47,"1,184","1,147","2,331",
48,"1,174","1,186","2,360",
49,"1,242","1,169","2,411",
小計,"12,247","11,728","23,975",
50,"1,187","1,062","2,249",
51,"1,010",945,"1,955",
52,"1,042",963,"2,005",
53,"1,044","1,031","2,075",
54,936,891,"1,827",
55,918,908,"1,826",
56,888,855,"1,743",
57,800,797,"1,597",
58,777,799,"1,576",
59,751,844,"1,595",
小計,"9,353","9,095","18,448",
60,771,830,"1,601",
61,740,833,"1,573",
62,774,932,"1,706",
63,780,933,"1,713",
64,822,960,"1,782",
65,884,"1,061","1,945",
66,988,"1,081","2,069",
67,"1,012","1,219","2,231",
68,"1,163","1,360","2,523",
69,"1,276","1,461","2,737",
小計,"9,210","10,670","19,880",
70,"1,318","1,500","2,818",
71,985,"1,098","2,083",
72,729,853,"1,582",
73,910,"1,005","1,915",
74,945,"1,250","2,195",
75,959,"1,075","2,034",
76,911,"1,037","1,948",
77,826,"1,012","1,838",
78,705,831,"1,536",
79,595,741,"1,336",
小計,"8,883","10,402","19,285",
80,632,723,"1,355",
81,582,697,"1,279",
82,523,700,"1,223",
83,463,528,991,
84,398,539,937,
85,367,506,873,
86,270,443,713,
87,230,379,609,
88,191,303,494,
89,143,314,457,
小計,"3,799","5,132","8,931",
90,104,249,353,
91,80,225,305,
92,60,170,230,
93,46,158,204,
94,36,128,164,
95,23,75,98,
96,8,79,87,
97,12,60,72,
98,11,32,43,
99,4,31,35,
小計,384,"1,207","1,591",
100以上,5,47,52,
合計,"72,802","75,852","148,654",
,,,,
