年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,0,4,9,6,4,4,10,7,10,7,2,1,7,6,10,7,4,2,4,0,0,0,2,3,5,9,10,10,32,37,5,1,8,5,6,5,7,9,2,3,5,8,5,5,11,6,3,4,5,1,4,4,3,2,1,3,4,7,1,3,2,1,1,6,0,0,7,14,9,24,0,1,7,10,5,6,10,10,13,18,21,17,5,2,6,4,0,0,4,0,26,11,10,9,3,6,4,4,2,5,0,0,7,3,5,6,0,0,0,0,1,1,18,12,6,4,2,0,4,3,3,0,2,3,15,16,9,3,6,4,7,5,3,8,5,0,16,15,7,1,22,22,1,1,3,6,6,6,2,4,0,3,0,0,3,2,0,2,2,1,1,0,8,8,478,456,934
1,4,2,12,8,5,5,6,10,8,6,4,4,9,7,6,6,7,8,4,1,2,1,2,4,8,7,12,6,34,32,0,3,5,8,9,8,9,10,7,6,4,9,2,1,6,10,6,7,5,5,10,6,3,2,5,1,13,6,5,2,6,6,0,0,0,0,15,14,11,13,0,1,4,3,9,8,5,14,7,16,27,22,5,3,9,6,1,0,4,8,15,11,9,13,7,11,2,5,1,1,0,0,4,9,6,2,2,3,2,2,1,1,20,11,6,3,3,2,1,1,2,4,6,0,23,22,15,16,11,8,4,5,5,4,9,6,27,20,9,7,19,29,2,1,8,3,5,3,2,4,1,1,0,1,2,0,0,1,2,2,0,1,6,3,552,521,"1,073"
2,3,5,11,7,4,3,3,7,4,8,3,3,8,13,9,7,5,4,2,1,1,1,1,5,4,4,12,12,38,33,5,5,6,2,10,6,3,7,4,2,6,4,4,3,7,5,6,8,3,2,5,1,4,5,5,0,6,5,2,6,8,8,4,2,1,2,10,13,17,17,1,0,4,4,5,8,9,8,14,19,38,38,5,5,6,7,1,1,4,4,24,14,8,11,4,4,6,6,1,5,0,0,5,4,3,8,2,0,3,3,2,2,15,16,5,5,1,2,3,3,3,1,2,3,24,15,15,17,10,4,2,4,3,4,3,6,17,21,8,7,16,22,1,2,8,3,11,6,2,3,3,2,0,0,1,2,2,1,3,1,1,1,5,2,533,520,"1,053"
3,2,2,12,6,6,3,13,6,7,5,5,7,12,14,11,5,4,5,1,1,2,2,2,1,8,8,13,8,39,40,3,1,10,7,15,11,3,9,6,4,6,8,3,10,10,13,4,6,4,2,7,4,3,3,1,5,8,8,1,7,8,8,8,5,1,1,12,6,13,17,1,1,4,6,8,9,6,13,12,13,27,43,2,2,3,5,0,0,3,4,16,20,12,7,8,4,3,8,3,3,0,0,8,6,7,7,2,5,2,0,2,1,19,15,6,6,0,4,2,1,3,2,3,3,16,28,26,14,8,9,3,8,7,5,6,5,17,19,4,3,27,34,1,2,8,7,4,8,5,4,2,4,0,1,0,0,3,1,1,1,1,0,11,7,575,596,"1,171"
4,4,1,8,7,3,4,6,8,4,9,4,4,30,14,10,10,8,6,2,1,0,0,0,3,7,6,6,15,55,50,7,3,5,4,6,9,4,5,7,4,3,3,4,2,5,10,3,3,6,3,5,3,3,1,1,3,9,7,6,3,9,6,0,5,1,1,14,10,17,17,0,0,5,4,11,7,7,14,8,21,27,32,1,6,7,7,1,0,4,8,12,13,8,13,10,6,5,9,5,6,0,0,9,5,8,6,2,4,2,4,2,0,14,12,6,4,2,3,3,2,3,2,3,2,16,20,30,29,6,12,7,2,1,5,8,6,16,20,3,9,23,22,2,1,7,7,6,7,5,8,5,2,0,1,4,2,0,0,3,1,2,1,5,4,576,589,"1,165"
5,5,0,10,8,2,4,3,8,3,7,2,2,25,18,10,7,5,5,3,3,0,1,2,3,6,4,16,5,45,48,1,2,8,9,9,10,5,5,5,8,4,4,11,6,6,7,5,13,3,4,3,3,3,10,0,2,9,3,1,6,7,8,6,5,0,1,12,5,20,15,4,0,4,3,15,6,9,7,17,15,42,34,2,4,2,7,1,0,5,6,10,16,11,11,7,4,3,6,5,5,0,0,8,4,3,9,0,1,4,2,1,0,13,10,9,10,4,5,3,3,2,3,4,3,12,19,22,22,8,10,4,8,7,8,9,8,11,13,4,14,22,19,1,4,6,8,7,9,6,2,5,4,1,0,2,3,1,0,1,3,0,1,10,10,582,588,"1,170"
6,2,6,5,14,4,4,6,7,7,9,5,2,20,19,11,11,5,6,1,2,2,2,6,1,4,3,9,10,71,50,6,5,7,2,8,5,6,7,3,4,2,2,2,1,8,3,6,10,6,1,7,3,6,8,1,4,6,4,6,1,5,12,5,9,0,2,7,4,22,7,0,0,6,1,13,18,9,6,20,15,47,31,2,4,9,6,0,1,3,8,15,13,11,10,8,5,6,6,3,6,0,0,6,8,9,9,1,3,4,0,3,1,8,7,10,8,6,4,2,1,4,2,1,2,7,18,24,15,10,6,2,4,11,6,10,9,10,10,3,3,22,31,2,3,9,8,2,2,2,1,2,5,1,1,2,1,1,3,0,0,0,0,4,8,607,549,"1,156"
7,3,2,12,9,5,5,3,3,4,7,5,5,28,26,8,9,6,5,0,1,0,1,7,5,9,2,9,7,52,54,4,4,3,6,9,5,4,6,6,8,6,5,7,5,7,7,9,5,4,5,5,7,3,2,0,0,6,8,5,2,9,4,3,6,0,1,4,6,13,19,1,0,4,5,14,13,5,7,20,20,31,42,3,2,3,2,1,1,6,4,15,8,15,12,14,2,7,5,4,4,0,0,7,8,15,12,4,4,0,6,1,4,8,10,12,9,4,4,1,2,3,4,1,3,11,11,30,17,4,13,4,9,7,6,10,12,10,5,13,13,28,22,1,2,1,10,4,13,8,3,8,4,3,0,2,3,2,1,2,2,2,1,6,5,613,597,"1,210"
8,1,2,7,6,6,5,6,6,4,5,4,5,34,20,20,12,9,13,1,3,2,4,4,2,4,2,14,5,46,51,6,5,9,7,9,5,8,7,7,4,3,6,2,2,9,9,8,10,4,6,3,6,10,4,1,3,10,7,3,5,4,8,2,5,3,0,7,7,8,11,0,1,5,6,18,12,7,5,22,22,24,34,5,0,3,4,1,2,5,5,11,10,12,9,6,4,4,6,4,4,0,0,8,9,13,6,2,3,4,3,0,2,6,13,8,16,2,2,4,1,6,3,3,3,10,13,19,14,9,10,8,4,8,7,7,13,9,12,6,8,32,39,3,3,10,9,6,6,1,3,5,4,2,0,3,3,3,0,4,4,1,1,10,7,617,603,"1,220"
