年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,0,3,10,6,6,1,13,7,12,9,1,1,7,7,5,6,3,5,2,0,0,0,1,4,9,5,13,8,30,34,4,4,6,5,7,5,8,9,5,4,6,10,4,3,11,2,3,4,4,1,5,1,2,1,2,2,3,7,2,3,3,2,1,4,0,0,9,12,4,27,0,1,8,6,3,5,5,6,11,21,22,17,6,2,5,3,0,0,3,0,23,10,7,11,5,7,4,8,2,7,0,0,5,4,6,6,0,0,0,2,2,0,20,14,3,5,2,1,4,2,3,3,4,3,13,13,12,5,6,3,2,6,3,6,6,3,12,12,9,2,27,21,1,2,2,6,9,5,3,5,2,3,0,0,2,1,0,0,1,1,1,0,5,6,470,446,916
1,5,3,12,8,4,6,4,8,7,8,5,3,11,7,11,6,6,7,3,0,2,1,4,3,5,10,12,8,36,35,1,3,8,9,9,10,9,11,7,3,6,7,3,2,7,10,7,7,5,4,8,6,4,2,4,2,11,7,5,3,6,4,0,2,0,0,13,10,16,13,0,0,4,6,10,7,10,13,9,17,23,26,4,0,9,6,1,0,4,6,21,10,11,12,5,10,3,2,0,2,0,0,4,6,5,3,2,2,1,2,1,1,18,12,8,2,3,2,1,1,2,2,3,0,20,20,13,12,8,5,8,5,2,3,7,4,28,20,8,4,20,24,1,1,10,5,5,4,1,3,1,1,0,1,2,1,0,2,2,2,0,1,7,2,561,498,"1,059"
2,1,4,11,9,4,4,5,7,4,6,2,5,8,12,9,6,6,5,3,2,1,1,1,3,6,3,10,10,35,31,4,4,8,3,11,5,4,6,4,5,6,5,4,3,6,9,8,7,3,2,8,4,3,5,6,1,7,3,2,2,6,9,4,2,0,2,11,12,12,14,0,1,5,4,4,5,6,11,15,15,33,32,3,6,8,7,1,1,3,4,24,15,8,14,7,3,4,8,1,4,0,0,6,8,2,5,1,1,4,2,0,1,17,18,5,6,1,1,3,1,3,3,4,3,27,19,11,18,11,8,3,4,6,5,5,6,19,21,7,10,18,25,2,0,7,2,9,5,3,4,3,2,0,0,2,1,0,1,3,1,2,1,7,5,536,528,"1,064"
3,3,1,11,8,3,0,11,6,7,5,5,5,10,11,9,7,5,6,1,1,1,1,2,3,8,9,13,10,43,35,3,2,6,5,13,12,2,11,6,3,5,5,3,5,11,8,5,7,4,3,7,4,3,3,0,3,9,10,1,9,6,6,6,3,2,1,13,8,15,16,2,1,4,5,10,11,9,11,11,13,37,39,6,4,2,5,0,0,4,6,12,16,12,6,6,6,5,7,3,3,0,0,4,6,7,7,2,5,1,1,3,2,19,13,7,7,0,4,2,3,3,2,3,2,17,23,27,13,8,8,2,5,6,5,4,5,20,20,6,3,25,32,1,4,7,6,5,7,4,4,1,4,0,1,0,1,3,1,2,0,1,0,12,4,577,563,"1,140"
4,3,2,9,6,7,5,8,9,4,8,4,2,22,13,13,10,5,4,2,1,1,1,1,3,7,5,8,12,53,56,7,2,7,5,6,6,6,3,4,5,5,4,5,7,4,13,2,7,7,2,6,2,4,2,1,3,7,3,2,5,12,7,2,7,0,0,15,10,17,17,0,0,3,3,7,7,5,12,10,21,25,30,2,3,8,6,1,0,3,5,15,18,6,13,8,6,5,8,5,5,0,0,11,5,9,8,2,4,3,3,2,0,18,16,5,3,1,4,2,0,2,2,4,3,17,16,31,32,7,13,2,6,1,4,10,4,15,16,3,5,25,27,1,0,7,8,4,9,4,6,6,2,0,0,2,2,1,0,2,2,2,0,5,6,573,590,"1,163"
5,6,0,9,8,2,6,3,9,4,10,2,6,32,18,10,7,8,6,2,1,0,1,2,4,8,6,17,8,45,44,2,1,7,5,10,11,4,5,8,5,3,3,9,5,8,8,4,8,1,4,3,4,3,9,0,1,6,7,5,5,8,8,4,3,1,1,14,8,22,14,2,1,6,7,15,7,10,9,13,15,44,39,2,6,3,7,1,0,4,6,9,11,13,9,12,5,3,8,1,7,0,0,7,2,4,10,1,0,3,3,2,0,11,7,9,8,3,3,3,3,3,1,2,3,15,27,21,15,6,9,8,6,4,7,7,9,11,17,5,12,22,24,1,4,6,7,9,7,8,4,3,2,1,1,4,3,1,0,2,3,0,1,9,7,601,591,"1,192"
6,3,4,8,13,1,3,7,5,6,7,5,2,20,22,16,13,4,6,3,3,1,1,5,0,0,2,8,5,56,50,6,6,7,5,11,9,6,9,3,6,3,2,4,2,7,5,7,13,6,2,6,2,4,8,0,2,7,3,5,2,6,11,8,11,0,1,7,6,19,6,2,0,4,0,16,16,7,5,20,12,42,29,1,5,6,7,0,1,3,6,17,14,9,12,6,5,4,7,5,2,0,0,6,10,7,8,1,4,4,0,2,1,10,7,10,9,4,6,3,2,2,3,3,1,6,15,23,20,8,6,3,5,11,7,9,10,8,12,2,8,22,23,2,3,11,6,3,4,1,1,4,6,1,0,1,0,0,2,0,0,0,1,5,6,579,554,"1,133"
7,2,4,10,8,6,3,3,4,3,8,3,5,22,19,6,8,4,5,0,2,1,1,8,5,9,2,11,11,63,49,4,2,7,5,6,4,4,3,4,7,4,7,7,4,8,6,7,6,4,4,4,5,4,3,1,2,6,8,5,2,8,5,2,6,0,3,1,5,14,19,1,0,4,4,13,16,8,8,16,19,38,42,4,1,7,2,1,0,5,4,14,11,15,8,13,2,7,3,3,7,0,0,6,8,13,9,2,3,2,5,1,3,7,9,11,9,7,4,1,2,6,2,1,2,13,14,28,12,8,13,3,9,10,7,11,9,13,5,12,8,25,29,1,2,1,10,2,9,7,1,7,4,2,1,3,3,3,2,2,2,0,1,6,9,614,573,"1,187"
8,2,1,10,9,6,8,5,5,5,5,4,1,33,22,16,14,10,12,1,2,0,3,4,4,7,3,13,6,46,54,5,6,8,9,10,4,9,7,9,4,5,3,0,1,10,9,5,11,6,6,5,7,10,3,1,1,10,7,4,3,3,7,2,7,2,0,6,7,10,12,0,1,4,6,17,9,8,5,15,20,22,33,5,1,2,4,0,2,4,8,13,8,13,12,10,3,6,9,5,3,0,0,7,10,14,9,3,4,2,4,1,3,11,15,6,13,3,2,4,0,4,6,2,3,7,13,27,17,8,9,6,6,6,6,9,11,8,11,8,12,30,32,3,4,8,11,6,10,2,3,4,4,3,0,1,4,3,0,2,3,3,0,5,5,612,617,"1,229"
