年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１丁目,,南野２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,4,2,8,7,2,5,5,9,5,9,3,3,13,7,11,7,5,7,4,0,1,1,2,4,7,9,15,10,32,27,2,4,7,6,7,7,7,11,6,5,8,9,4,4,11,10,4,3,3,4,3,5,3,1,1,1,9,6,0,1,5,3,0,4,0,0,13,16,14,13,0,1,3,8,12,6,8,15,9,11,22,18,5,0,6,5,1,0,4,4,28,9,11,12,6,13,5,3,0,3,0,0,6,5,6,2,1,2,2,3,1,1,14,11,6,5,4,2,0,1,1,2,3,0,18,21,13,9,5,4,10,5,2,3,5,3,23,20,7,2,16,17,0,2,6,5,5,2,0,0,2,2,0,0,0,1,3,1,0,4,2,1,0,1,10,5,515,470,985
1,1,2,15,9,6,4,9,6,8,5,3,2,5,10,9,5,8,3,2,2,1,1,0,1,6,4,6,5,33,37,0,2,10,3,11,9,7,7,6,5,4,6,4,2,5,9,5,5,5,3,7,3,1,3,5,1,8,0,6,1,6,8,2,1,0,2,17,11,10,18,1,1,6,2,6,5,8,13,15,23,29,26,5,4,7,5,1,2,4,5,21,17,8,11,5,5,1,7,1,3,0,0,6,7,4,5,0,1,5,2,2,0,22,19,7,2,1,2,2,1,3,2,5,3,29,21,9,16,10,6,1,6,5,4,3,5,20,21,10,8,17,22,2,0,6,2,9,3,0,0,2,5,4,1,0,0,1,1,0,0,1,3,0,1,4,4,539,497,"1,036"
2,1,3,7,10,4,2,10,8,5,4,5,7,9,8,11,11,5,9,2,1,0,2,2,2,7,9,14,14,45,37,6,4,5,5,13,10,2,12,6,1,6,5,3,5,11,7,2,7,5,3,5,4,1,6,3,3,9,9,1,7,6,4,7,4,2,0,9,10,16,13,1,1,3,4,7,9,8,8,11,14,41,45,5,6,1,6,0,1,2,6,14,15,7,6,6,5,7,8,2,2,0,0,2,4,3,6,3,3,2,2,4,3,16,11,7,10,0,0,4,3,2,2,1,2,19,25,20,12,12,10,2,3,6,3,6,5,17,18,5,5,15,25,1,4,6,5,7,8,0,0,5,3,0,3,0,1,2,1,3,1,4,0,0,0,13,6,547,566,"1,113"
3,3,1,13,6,5,3,8,7,7,7,3,2,21,16,11,5,6,6,3,1,2,1,1,1,6,3,11,11,47,48,3,2,7,7,5,7,5,3,5,6,7,7,4,8,6,11,4,7,7,2,8,2,3,2,2,1,6,8,2,5,10,7,2,6,0,1,11,10,18,19,1,0,4,4,8,8,5,14,13,16,24,36,0,2,5,7,1,0,5,5,16,20,8,9,8,6,3,5,6,6,0,0,12,4,8,8,1,6,3,0,2,0,15,15,6,5,1,5,0,1,4,3,5,2,15,17,34,29,6,11,1,8,3,4,6,3,16,20,3,6,25,29,0,0,9,6,5,8,0,0,5,6,6,5,0,0,1,1,2,2,0,1,2,0,8,7,573,589,"1,162"
4,4,0,7,7,2,5,4,11,6,11,1,5,28,17,9,12,7,5,2,1,0,1,1,4,7,5,16,11,58,48,3,1,6,5,7,10,3,4,9,5,4,3,8,4,9,10,4,4,2,5,5,3,4,5,0,2,8,7,5,7,9,8,3,4,1,1,15,9,22,12,2,0,4,6,11,8,7,10,10,19,44,37,2,5,5,8,0,0,5,6,12,12,13,13,10,6,1,11,3,7,0,0,7,3,7,10,2,1,4,5,1,1,11,8,7,7,2,2,5,2,3,2,2,2,17,22,22,19,9,11,6,4,5,5,7,7,13,17,4,10,22,23,2,2,6,8,7,8,0,0,7,6,3,1,1,1,4,2,1,0,3,3,0,1,4,7,602,600,"1,202"
5,3,3,10,6,2,4,9,5,5,6,5,3,26,22,15,9,3,4,3,3,0,0,5,1,3,4,8,4,41,38,7,4,7,6,11,10,6,8,3,6,3,3,4,3,4,6,8,15,5,1,5,2,2,11,0,4,6,0,2,2,5,9,10,7,0,1,7,5,23,12,3,0,3,1,17,9,10,6,20,17,44,31,2,4,6,6,1,1,4,6,11,13,7,12,9,8,4,6,6,4,0,0,6,6,4,4,0,4,4,2,2,1,10,8,11,10,5,8,3,3,1,3,3,0,4,18,22,20,8,6,5,6,7,9,8,10,11,14,2,7,22,19,3,2,8,6,6,6,0,0,3,2,4,7,1,0,2,2,0,2,2,1,0,1,10,6,580,544,"1,124"
6,3,5,11,14,6,3,3,6,5,9,2,3,17,17,6,12,6,8,0,2,2,2,6,3,8,4,12,11,63,56,3,2,6,3,6,3,2,7,3,5,3,4,4,5,9,5,6,6,5,1,5,6,6,4,1,5,7,8,8,1,6,9,2,10,0,2,3,6,15,13,1,1,7,3,11,21,8,6,23,15,40,37,3,3,8,4,1,1,4,5,18,11,8,10,13,3,9,4,5,7,0,0,8,9,10,7,4,1,2,4,1,2,7,7,10,8,4,4,0,1,6,2,0,4,12,16,27,15,7,12,1,7,9,8,7,11,11,6,7,7,23,23,1,4,2,10,2,4,0,0,6,1,3,4,2,1,2,3,3,2,2,2,0,0,4,9,592,585,"1,177"
7,3,0,11,10,7,7,4,3,4,6,5,2,37,25,14,13,10,7,1,2,0,3,5,3,6,1,11,7,46,53,5,5,7,7,11,6,8,5,8,6,4,6,5,1,10,8,6,11,5,7,4,7,7,2,2,1,9,8,3,4,6,4,1,5,0,1,4,8,12,16,0,1,4,5,17,9,7,6,17,20,25,38,5,2,1,3,0,2,5,8,10,11,16,12,12,4,5,8,4,3,0,0,7,5,16,12,3,5,2,3,1,2,7,14,7,11,4,3,4,1,1,4,2,3,7,17,32,22,5,11,5,6,9,6,14,12,11,9,8,13,31,31,3,3,4,13,7,11,0,0,4,3,8,5,1,0,1,3,2,0,4,1,3,1,8,4,630,626,"1,256"
8,2,4,4,6,4,3,7,5,9,5,4,6,29,38,15,9,4,8,0,2,2,1,2,4,4,6,10,9,61,45,7,4,5,7,7,10,6,7,4,3,2,4,2,2,6,10,11,7,2,5,4,4,8,5,0,2,9,5,2,2,6,3,6,5,5,0,7,1,12,16,0,1,8,4,14,12,6,5,22,20,21,26,1,2,7,4,2,2,5,5,13,15,17,17,3,3,6,9,4,7,0,0,9,10,8,8,4,3,4,4,2,4,10,8,13,16,1,3,4,4,10,2,4,2,11,12,13,12,8,9,10,3,9,6,9,14,8,16,7,6,33,35,2,0,7,4,6,3,0,0,2,5,6,3,2,0,8,1,1,0,2,3,1,2,8,9,619,592,"1,211"
