年齢別人口　平成３０年１０月１日現在,,,,
年齢,男,女,合計,
0,470,446,916,
1,561,498,"1,059",
2,536,528,"1,064",
3,577,563,"1,140",
4,573,590,"1,163",
5,601,591,"1,192",
6,579,554,"1,133",
7,614,573,"1,187",
8,612,617,"1,229",
9,660,624,"1,284",
小計,"5,783","5,584","11,367",
10,627,618,"1,245",
11,649,605,"1,254",
12,605,591,"1,196",
13,612,558,"1,170",
14,629,596,"1,225",
15,624,613,"1,237",
16,642,589,"1,231",
17,636,605,"1,241",
18,635,629,"1,264",
19,687,643,"1,330",
小計,"6,346","6,047","12,393",
20,779,753,"1,532",
21,838,777,"1,615",
22,813,791,"1,604",
23,844,766,"1,610",
24,743,757,"1,500",
25,748,748,"1,496",
26,706,677,"1,383",
27,686,618,"1,304",
28,703,638,"1,341",
29,640,673,"1,313",
小計,"7,500","7,198","14,698",
30,732,668,"1,400",
31,825,724,"1,549",
32,771,789,"1,560",
33,875,795,"1,670",
34,946,882,"1,828",
35,915,927,"1,842",
36,955,915,"1,870",
37,987,927,"1,914",
38,"1,056",943,"1,999",
39,"1,083",962,"2,045",
小計,"9,145","8,532","17,677",
40,"1,100","1,048","2,148",
41,"1,151","1,078","2,229",
42,"1,190","1,103","2,293",
43,"1,207","1,157","2,364",
44,"1,246","1,219","2,465",
45,"1,285","1,245","2,530",
46,"1,337","1,264","2,601",
47,"1,261","1,228","2,489",
48,"1,196","1,169","2,365",
49,"1,214","1,126","2,340",
小計,"12,187","11,637","23,824",
50,"1,220","1,164","2,384",
51,"1,146","1,020","2,166",
52,944,884,"1,828",
53,"1,067","1,042","2,109",
54,"1,014",954,"1,968",
55,946,909,"1,855",
56,896,857,"1,753",
57,816,837,"1,653",
58,794,785,"1,579",
59,767,848,"1,615",
小計,"9,610","9,300","18,910",
60,788,854,"1,642",
61,739,829,"1,568",
62,749,840,"1,589",
63,803,924,"1,727",
64,757,944,"1,701",
65,872,"1,028","1,900",
66,941,"1,063","2,004",
67,959,"1,149","2,108",
68,"1,073","1,305","2,378",
69,"1,250","1,423","2,673",
小計,"8,931","10,359","19,290",
70,"1,315","1,496","2,811",
71,"1,199","1,338","2,537",
72,727,870,"1,597",
73,867,940,"1,807",
74,955,"1,223","2,178",
75,912,"1,096","2,008",
76,958,"1,060","2,018",
77,857,"1,015","1,872",
78,736,923,"1,659",
79,649,747,"1,396",
小計,"9,175","10,708","19,883",
80,609,735,"1,344",
81,592,699,"1,291",
82,552,707,"1,259",
83,465,612,"1,077",
84,424,501,925,
85,364,509,873,
86,295,476,771,
87,228,356,584,
88,195,348,543,
89,167,282,449,
小計,"3,891","5,225","9,116",
90,105,267,372,
91,75,231,306,
92,73,181,254,
93,53,164,217,
94,36,114,150,
95,21,92,113,
96,16,64,80,
97,11,58,69,
98,11,45,56,
99,3,24,27,
小計,404,"1,240","1,644",
100以上,5,48,53,
合計,"72,977","75,878","148,855",
,,,,
