年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,計
0,2,3,8,5,2,4,10,11,6,9,2,3,11,8,11,7,4,3,6,0,1,2,2,2,6,10,13,13,34,29,4,3,9,8,6,5,8,9,1,3,7,7,4,4,10,8,4,4,6,2,4,3,3,2,2,3,7,6,2,2,4,3,1,6,0,0,9,16,12,21,0,1,4,9,9,7,8,13,10,12,21,17,6,0,6,6,1,0,5,0,26,9,11,12,4,9,5,2,2,4,0,0,7,5,7,5,0,2,0,2,1,2,16,13,6,4,3,0,4,2,1,1,4,2,17,21,9,6,3,6,9,4,2,4,4,1,21,14,4,1,18,18,1,1,3,5,9,4,2,4,0,0,0,0,3,1,0,3,2,1,1,0,10,4,506,461,967
1,5,2,15,9,4,6,5,5,8,6,4,2,6,7,6,7,9,7,2,1,1,1,0,3,8,6,10,6,33,37,1,2,7,5,9,9,8,8,7,5,5,8,4,2,7,12,4,7,4,5,9,5,2,2,5,1,9,4,5,2,4,6,1,1,0,1,16,12,12,17,1,1,6,1,8,9,6,16,9,23,28,23,5,4,5,4,0,1,5,8,15,16,9,10,8,8,1,6,1,3,0,0,4,6,5,5,2,1,4,1,1,0,20,17,7,3,1,3,1,1,2,3,5,0,28,19,12,17,12,6,4,4,4,3,6,4,21,25,9,9,17,28,2,1,7,3,5,3,3,5,2,1,0,1,2,0,0,0,2,2,0,2,5,3,535,528,"1,063"
2,1,5,7,7,4,2,6,7,5,5,3,6,8,12,10,7,3,5,2,2,0,2,1,3,5,8,13,12,40,34,5,5,7,3,11,9,2,10,4,2,4,5,3,5,6,4,5,9,5,3,5,3,0,7,3,4,8,8,1,5,9,7,4,1,2,1,12,12,19,13,1,0,4,4,5,8,8,8,16,14,39,44,4,5,5,4,1,1,1,6,24,12,5,10,5,4,6,7,2,3,0,0,5,3,2,4,3,2,1,3,2,3,17,13,4,7,1,1,4,3,2,1,2,3,22,22,18,12,11,6,2,4,4,4,5,6,19,16,9,5,13,25,2,4,6,4,9,7,1,1,2,3,0,0,1,2,3,1,3,1,1,0,7,6,530,535,"1,065"
3,3,2,14,8,8,4,13,5,7,5,6,4,15,14,11,6,7,8,2,1,2,1,2,1,8,4,10,7,37,45,2,3,9,7,11,9,4,7,7,7,6,6,4,7,11,14,4,5,6,1,6,1,4,1,1,1,6,5,2,6,9,7,7,6,0,1,12,9,13,19,1,1,5,7,7,8,6,13,11,14,26,37,1,2,4,8,1,0,4,2,16,19,10,8,9,6,2,7,4,6,0,0,8,6,8,9,1,5,4,0,2,0,14,16,7,4,1,4,1,1,3,3,5,4,12,22,31,25,7,9,1,8,5,5,6,4,10,21,3,6,32,28,0,0,11,5,4,8,6,3,2,4,0,1,1,1,2,1,1,1,2,0,11,7,577,586,"1,163"
4,5,0,6,8,2,4,4,11,3,11,1,5,31,15,9,9,7,5,1,0,0,1,1,3,6,6,11,14,61,47,6,1,4,5,7,10,4,4,7,4,4,4,4,5,7,10,3,3,3,4,5,5,2,3,1,3,10,8,6,6,8,6,1,4,1,1,13,9,16,14,1,0,2,6,12,7,9,11,10,21,40,31,1,7,6,6,0,0,5,9,10,11,12,11,9,6,4,9,5,6,0,0,10,4,8,10,2,2,3,4,3,0,15,5,5,6,2,3,5,2,3,2,1,2,19,21,24,25,6,12,8,5,3,5,8,8,18,20,4,10,20,22,2,2,5,8,8,6,6,9,6,2,1,1,4,2,1,0,3,2,1,1,3,4,593,594,"1,187"
5,3,0,9,6,1,5,6,4,4,8,4,2,27,20,14,8,3,5,4,4,0,0,2,2,4,5,12,4,42,43,6,4,9,8,9,10,6,6,4,5,3,3,9,3,4,6,9,18,5,3,4,1,3,10,0,4,7,2,0,4,7,11,6,6,0,1,8,5,19,13,3,0,5,1,18,5,7,7,20,17,37,35,2,2,2,7,1,0,4,5,9,16,10,13,7,5,5,7,5,3,0,0,5,6,4,5,0,3,5,3,1,0,11,9,8,7,4,6,2,3,3,3,5,2,9,17,24,18,9,8,4,6,6,7,8,5,9,10,2,8,22,20,2,2,4,7,6,8,4,3,4,5,0,0,2,2,0,2,2,2,0,1,12,8,565,548,"1,113"
6,3,8,8,15,5,3,5,7,7,11,5,3,17,20,9,11,7,7,0,1,2,2,8,1,6,3,9,11,62,55,2,2,5,2,9,2,4,5,4,6,2,2,5,3,9,2,6,6,6,1,5,3,6,7,1,2,6,6,10,0,6,9,6,10,0,2,7,4,19,10,1,0,6,2,9,22,8,5,20,17,49,36,4,4,9,6,1,2,3,7,15,14,9,10,8,2,8,6,4,7,0,0,7,6,10,8,1,1,3,2,2,3,8,10,13,9,6,4,1,1,4,2,1,3,7,17,25,14,10,7,2,7,10,8,8,11,12,9,8,3,26,28,1,4,9,8,2,2,3,0,3,5,2,1,2,2,2,2,0,1,0,0,4,10,617,570,"1,187"
7,3,0,12,8,5,7,5,2,3,4,3,3,30,26,7,11,5,6,1,2,0,2,5,5,7,2,12,8,56,48,5,5,5,6,9,6,3,8,6,5,6,5,5,3,9,6,6,9,4,6,4,8,3,2,0,0,9,8,1,3,7,5,1,6,0,1,4,7,13,18,0,1,3,6,17,13,6,8,18,18,27,38,3,2,4,2,0,1,6,6,14,11,12,11,13,2,5,5,5,3,0,0,7,8,17,13,4,5,0,5,1,2,7,12,8,11,3,4,2,1,3,4,1,3,10,12,29,21,2,14,3,7,8,5,12,13,8,6,9,14,30,26,3,1,3,12,7,14,7,4,7,5,2,0,1,3,2,0,5,2,2,1,6,3,596,609,"1,205"
8,1,3,7,7,5,3,6,5,6,6,6,7,33,26,20,10,8,10,0,3,2,2,3,3,5,5,12,5,53,53,5,5,11,9,8,8,10,6,6,5,2,7,2,2,7,11,11,8,5,5,4,6,10,3,1,3,9,6,3,4,6,6,4,5,5,0,6,5,9,16,0,0,10,5,16,13,7,5,24,23,20,30,3,2,4,4,1,2,7,6,11,13,16,17,7,6,2,9,4,8,0,0,9,9,10,9,4,3,4,3,2,3,10,14,11,15,2,3,5,1,7,2,3,2,12,15,18,12,10,10,10,3,8,6,8,15,11,15,9,6,33,38,1,3,9,6,6,3,2,2,7,3,2,0,6,2,2,0,2,3,2,1,12,9,660,627,"1,287"
