年齢別人口　平成３０年７月１日現在,,,,
年齢,男,女,合計,
0,478,456,934,
1,552,521,"1,073",
2,533,520,"1,053",
3,575,596,"1,171",
4,576,589,"1,165",
5,582,588,"1,170",
6,607,549,"1,156",
7,613,597,"1,210",
8,617,603,"1,220",
9,674,637,"1,311",
小計,"5,807","5,656","11,463",
10,627,602,"1,229",
11,629,621,"1,250",
12,613,561,"1,174",
13,606,555,"1,161",
14,659,629,"1,288",
15,610,589,"1,199",
16,638,604,"1,242",
17,634,596,"1,230",
18,651,612,"1,263",
19,670,677,"1,347",
小計,"6,337","6,046","12,383",
20,806,746,"1,552",
21,834,804,"1,638",
22,809,799,"1,608",
23,839,786,"1,625",
24,732,732,"1,464",
25,744,752,"1,496",
26,708,628,"1,336",
27,686,648,"1,334",
28,679,640,"1,319",
29,668,690,"1,358",
小計,"7,505","7,225","14,730",
30,739,674,"1,413",
31,832,736,"1,568",
32,800,792,"1,592",
33,901,821,"1,722",
34,934,895,"1,829",
35,921,924,"1,845",
36,949,923,"1,872",
37,"1,023",932,"1,955",
38,"1,038",933,"1,971",
39,"1,100",988,"2,088",
小計,"9,237","8,618","17,855",
40,"1,132","1,054","2,186",
41,"1,185","1,060","2,245",
42,"1,143","1,117","2,260",
43,"1,249","1,220","2,469",
44,"1,252","1,229","2,481",
45,"1,263","1,249","2,512",
46,"1,364","1,266","2,630",
47,"1,209","1,177","2,386",
48,"1,198","1,153","2,351",
49,"1,223","1,180","2,403",
小計,"12,218","11,705","23,923",
50,"1,200","1,105","2,305",
51,"1,105",964,"2,069",
52,970,951,"1,921",
53,"1,050","1,019","2,069",
54,989,930,"1,919",
55,944,902,"1,846",
56,871,859,"1,730",
57,822,823,"1,645",
58,768,787,"1,555",
59,794,848,"1,642",
小計,"9,513","9,188","18,701",
60,747,855,"1,602",
61,749,825,"1,574",
62,758,867,"1,625",
63,782,946,"1,728",
64,804,945,"1,749",
65,877,"1,044","1,921",
66,965,"1,075","2,040",
67,996,"1,197","2,193",
68,"1,086","1,318","2,404",
69,"1,283","1,418","2,701",
小計,"9,047","10,490","19,537",
70,"1,316","1,535","2,851",
71,"1,116","1,233","2,349",
72,700,830,"1,530",
73,874,957,"1,831",
74,973,"1,272","2,245",
75,931,"1,059","1,990",
76,938,"1,053","1,991",
77,832,"1,005","1,837",
78,730,870,"1,600",
79,603,735,"1,338",
小計,"9,013","10,549","19,562",
80,633,737,"1,370",
81,587,697,"1,284",
82,542,720,"1,262",
83,454,574,"1,028",
84,415,502,917,
85,361,508,869,
86,282,459,741,
87,234,385,619,
88,189,320,509,
89,162,289,451,
小計,"3,859","5,191","9,050",
90,98,264,362,
91,76,224,300,
92,67,183,250,
93,51,155,206,
94,30,118,148,
95,26,91,117,
96,10,64,74,
97,11,65,76,
98,12,37,49,
99,2,29,31,
小計,383,"1,230","1,613",
100以上,5,46,51,
合計,"72,924","75,944","148,868",
,,,,
