年齢別人口　平成３０年６月１日現在,,,,
年齢,男,女,合計,
0,487,464,951,
1,549,520,"1,069",
2,532,525,"1,057",
3,570,597,"1,167",
4,594,586,"1,180",
5,566,571,"1,137",
6,606,561,"1,167",
7,616,606,"1,222",
8,619,618,"1,237",
9,681,616,"1,297",
小計,"5,820","5,664","11,484",
10,623,608,"1,231",
11,633,614,"1,247",
12,616,560,"1,176",
13,610,560,"1,170",
14,639,629,"1,268",
15,623,589,"1,212",
16,633,599,"1,232",
17,636,593,"1,229",
18,649,634,"1,283",
19,676,670,"1,346",
小計,"6,338","6,056","12,394",
20,802,747,"1,549",
21,842,820,"1,662",
22,808,790,"1,598",
23,824,779,"1,603",
24,767,738,"1,505",
25,724,726,"1,450",
26,700,646,"1,346",
27,679,652,"1,331",
28,667,638,"1,305",
29,693,695,"1,388",
小計,"7,506","7,231","14,737",
30,754,681,"1,435",
31,807,737,"1,544",
32,821,785,"1,606",
33,882,833,"1,715",
34,947,896,"1,843",
35,903,935,"1,838",
36,965,921,"1,886",
37,"1,027",944,"1,971",
38,"1,042",933,"1,975",
39,"1,098",985,"2,083",
小計,"9,246","8,650","17,896",
40,"1,161","1,074","2,235",
41,"1,188","1,055","2,243",
42,"1,127","1,125","2,252",
43,"1,277","1,219","2,496",
44,"1,255","1,223","2,478",
45,"1,252","1,255","2,507",
46,"1,362","1,257","2,619",
47,"1,192","1,177","2,369",
48,"1,195","1,167","2,362",
49,"1,227","1,163","2,390",
小計,"12,236","11,715","23,951",
50,"1,185","1,084","2,269",
51,"1,095",957,"2,052",
52,988,962,"1,950",
53,"1,048","1,030","2,078",
54,975,909,"1,884",
55,924,914,"1,838",
56,883,849,"1,732",
57,813,808,"1,621",
58,785,808,"1,593",
59,780,844,"1,624",
小計,"9,476","9,165","18,641",
60,755,840,"1,595",
61,751,834,"1,585",
62,757,874,"1,631",
63,780,950,"1,730",
64,808,937,"1,745",
65,878,"1,052","1,930",
66,969,"1,076","2,045",
67,"1,013","1,215","2,228",
68,"1,114","1,332","2,446",
69,"1,280","1,425","2,705",
小計,"9,105","10,535","19,640",
70,"1,317","1,550","2,867",
71,"1,072","1,189","2,261",
72,711,817,"1,528",
73,871,967,"1,838",
74,971,"1,282","2,253",
75,935,"1,062","1,997",
76,947,"1,044","1,991",
77,818,"1,009","1,827",
78,731,855,"1,586",
79,582,733,"1,315",
小計,"8,955","10,508","19,463",
80,642,741,"1,383",
81,597,691,"1,288",
82,524,720,"1,244",
83,458,553,"1,011",
84,407,514,921,
85,367,509,876,
86,280,449,729,
87,237,389,626,
88,186,310,496,
89,157,298,455,
小計,"3,855","5,174","9,029",
90,97,260,357,
91,75,227,302,
92,69,170,239,
93,49,154,203,
94,32,128,160,
95,24,86,110,
96,10,71,81,
97,13,59,72,
98,10,35,45,
99,2,30,32,
小計,381,"1,220","1,601",
100以上,6,45,51,
合計,"72,924","75,963","148,887",
,,,,
