年齢別人口　平成３０年９月１日現在,,,,
年齢,男,女,合計,
0,479,443,922,
1,555,517,"1,072",
2,542,526,"1,068",
3,583,578,"1,161",
4,566,580,"1,146",
5,585,597,"1,182",
6,598,538,"1,136",
7,636,584,"1,220",
8,594,615,"1,209",
9,667,626,"1,293",
小計,"5,805","5,604","11,409",
10,634,621,"1,255",
11,639,606,"1,245",
12,597,577,"1,174",
13,616,569,"1,185",
14,643,608,"1,251",
15,615,598,"1,213",
16,642,598,"1,240",
17,649,610,"1,259",
18,623,617,"1,240",
19,679,645,"1,324",
小計,"6,337","6,049","12,386",
20,784,747,"1,531",
21,829,778,"1,607",
22,805,792,"1,597",
23,824,763,"1,587",
24,752,745,"1,497",
25,746,752,"1,498",
26,709,661,"1,370",
27,683,640,"1,323",
28,699,638,"1,337",
29,642,684,"1,326",
小計,"7,473","7,200","14,673",
30,733,648,"1,381",
31,820,736,"1,556",
32,794,780,"1,574",
33,892,819,"1,711",
34,924,880,"1,804",
35,920,925,"1,845",
36,962,920,"1,882",
37,"1,005",928,"1,933",
38,"1,034",962,"1,996",
39,"1,087",944,"2,031",
小計,"9,171","8,542","17,713",
40,"1,113","1,057","2,170",
41,"1,163","1,075","2,238",
42,"1,178","1,103","2,281",
43,"1,227","1,177","2,404",
44,"1,248","1,223","2,471",
45,"1,271","1,252","2,523",
46,"1,354","1,257","2,611",
47,"1,256","1,204","2,460",
48,"1,172","1,156","2,328",
49,"1,218","1,167","2,385",
小計,"12,200","11,671","23,871",
50,"1,223","1,155","2,378",
51,"1,132",990,"2,122",
52,972,893,"1,865",
53,"1,047","1,047","2,094",
54,998,952,"1,950",
55,950,883,"1,833",
56,884,872,"1,756",
57,826,841,"1,667",
58,768,780,"1,548",
59,796,845,"1,641",
小計,"9,596","9,258","18,854",
60,775,852,"1,627",
61,736,820,"1,556",
62,751,865,"1,616",
63,813,920,"1,733",
64,750,939,"1,689",
65,880,"1,050","1,930",
66,951,"1,055","2,006",
67,963,"1,167","2,130",
68,"1,086","1,320","2,406",
69,"1,263","1,408","2,671",
小計,"8,968","10,396","19,364",
70,"1,307","1,505","2,812",
71,"1,182","1,315","2,497",
72,711,854,"1,565",
73,886,949,"1,835",
74,937,"1,232","2,169",
75,925,"1,097","2,022",
76,972,"1,050","2,022",
77,841,998,"1,839",
78,725,922,"1,647",
79,635,735,"1,370",
小計,"9,121","10,657","19,778",
80,617,733,"1,350",
81,587,699,"1,286",
82,559,713,"1,272",
83,457,602,"1,059",
84,419,500,919,
85,361,491,852,
86,295,485,780,
87,236,367,603,
88,192,335,527,
89,162,284,446,
小計,"3,885","5,209","9,094",
90,104,273,377,
91,73,218,291,
92,74,188,262,
93,49,160,209,
94,34,118,152,
95,23,87,110,
96,14,64,78,
97,11,64,75,
98,10,35,45,
99,3,26,29,
小計,395,"1,233","1,628",
100以上,5,49,54,
合計,"72,956","75,868","148,824",
,,,,
