年齢別人口　平成３０年５月１日現在,,,,
年齢,男,女,合計,
0,489,460,949,
1,536,534,"1,070",
2,547,525,"1,072",
3,569,594,"1,163",
4,591,592,"1,183",
5,577,560,"1,137",
6,601,559,"1,160",
7,604,609,"1,213",
8,643,627,"1,270",
9,666,602,"1,268",
小計,"5,823","5,662","11,485",
10,630,610,"1,240",
11,635,621,"1,256",
12,619,544,"1,163",
13,603,572,"1,175",
14,641,644,"1,285",
15,618,568,"1,186",
16,639,608,"1,247",
17,622,581,"1,203",
18,659,630,"1,289",
19,720,689,"1,409",
小計,"6,386","6,067","12,453",
20,790,747,"1,537",
21,831,821,"1,652",
22,810,786,"1,596",
23,809,789,"1,598",
24,759,728,"1,487",
25,716,722,"1,438",
26,702,640,"1,342",
27,674,649,"1,323",
28,677,660,"1,337",
29,704,676,"1,380",
小計,"7,472","7,218","14,690",
30,774,711,"1,485",
31,800,734,"1,534",
32,817,784,"1,601",
33,878,846,"1,724",
34,963,898,"1,861",
35,907,926,"1,833",
36,945,930,"1,875",
37,"1,061",944,"2,005",
38,"1,043",925,"1,968",
39,"1,101",994,"2,095",
小計,"9,289","8,692","17,981",
40,"1,157","1,085","2,242",
41,"1,192","1,046","2,238",
42,"1,124","1,129","2,253",
43,"1,272","1,243","2,515",
44,"1,244","1,208","2,452",
45,"1,259","1,256","2,515",
46,"1,367","1,256","2,623",
47,"1,201","1,158","2,359",
48,"1,161","1,194","2,355",
49,"1,236","1,149","2,385",
小計,"12,213","11,724","23,937",
50,"1,201","1,074","2,275",
51,"1,039",958,"1,997",
52,"1,017",951,"1,968",
53,"1,047","1,036","2,083",
54,948,887,"1,835",
55,926,910,"1,836",
56,885,856,"1,741",
57,805,810,"1,615",
58,777,800,"1,577",
59,775,850,"1,625",
小計,"9,420","9,132","18,552",
60,761,834,"1,595",
61,740,832,"1,572",
62,767,906,"1,673",
63,782,928,"1,710",
64,820,955,"1,775",
65,869,"1,063","1,932",
66,990,"1,077","2,067",
67,994,"1,216","2,210",
68,"1,150","1,354","2,504",
69,"1,275","1,420","2,695",
小計,"9,148","10,585","19,733",
70,"1,332","1,538","2,870",
71,"1,030","1,145","2,175",
72,715,836,"1,551",
73,883,975,"1,858",
74,953,"1,270","2,223",
75,942,"1,062","2,004",
76,937,"1,048","1,985",
77,835,"1,012","1,847",
78,711,837,"1,548",
79,585,740,"1,325",
小計,"8,923","10,463","19,386",
80,652,731,"1,383",
81,574,694,"1,268",
82,530,708,"1,238",
83,456,542,998,
84,410,522,932,
85,359,515,874,
86,276,457,733,
87,231,372,603,
88,193,312,505,
89,148,305,453,
小計,"3,829","5,158","8,987",
90,97,253,350,
91,80,231,311,
92,68,171,239,
93,47,153,200,
94,34,127,161,
95,24,80,104,
96,8,79,87,
97,13,57,70,
98,11,33,44,
99,4,33,37,
小計,386,"1,217","1,603",
100以上,5,46,51,
合計,"72,894","75,964","148,858",
,,,,
