"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]","他団体出資等分[百万円]"
"年度","2019",,,
"期間（自）","20190401",,,
"期間（至）","20200331",,,
"前年度末純資産残高","3525433","3530797","-5379","3"
"本年度純資産変動額 本年度差額 純行政コスト","-172720",,"-172720","0"
"本年度純資産変動額 本年度差額 財源","196761",,"196761","0"
"本年度純資産変動額 本年度差額 財源 税収等","143016",,"143016","0"
"本年度純資産変動額 本年度差額 財源 国都等補助金","53745",,"53745","0"
"本年度純資産変動額 本年度差額","24041",,"24041","0"
"本年度純資産変動額 固定資産等の変動（内部変動）",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,,,
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,,,
"本年度純資産変動額 資産評価差額","-","-",,
"本年度純資産変動額 無償所管換等","16264","16264",,
"本年度純資産変動額 他団体出資等分の増加","-",,,"-"
"本年度純資産変動額 他団体出資等分の減少","-",,,"-"
"本年度純資産変動額 比例連結割合変更に伴う差額","73","100","-27","0"
"本年度純資産変動額 その他","-197","-26","-172",
"本年度純資産変動額","40181","39067","1114","0"
"本年度末純資産残高","3565614","3569876","-4265","3"

"連結会計財務書類（純資産変動計算書）(平成31年4月1日から令和2年3月31日)","Ver202003",,,
