< 輸  入 >,4-(2)外貿コンテナ貨物航路別・主要品種別表,,,,,,(単位：トン）
航 路 名,計,,第１位,第２位,第３位,第４位,第５位
,,構成比,,,,,
合計,,,衣服・身廻品・はきもの,電気機械,製造食品,その他化学工業品,家具装備品
,"3,004,791",100.0%,"504,328","261,671","216,081","196,021","162,138"
,102.6%,,111.2%,105.7%,100.9%,108.7%,101.0%
世界一周,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
北米西岸(メキシコ含む),,,その他畜産品,動植物性製造飼肥料,製材,製造食品,その他化学工業品
,"381,127",12.7%,"67,909","65,000","35,255","33,133","19,059"
,104.9%,,115.0%,93.7%,83.2%,80.9%,93.2%
北米東岸(カリビア海含む),,,その他畜産品,紙・パ　ル　プ,その他化学工業品,野菜・果物,製造食品
,"80,498",2.7%,"18,139","13,653","6,146","6,055","5,218"
,95.1%,,88.8%,69.3%,111.6%,118.9%,138.2%
北欧・地中海,,,製造食品,飲料,その他化学工業品,産業機械,自動車部品
,"144,557",4.8%,"22,720","19,708","15,651","8,718","6,910"
,96.7%,,135.0%,108.4%,108.1%,105.3%,105.9%
南米西岸,,,野菜・果物,飲料,その他畜産品,動植物性製造飼肥料,水産品
,"28,541",0.9%,"7,272","5,989","2,746","2,715","2,566"
,58.6%,,67.3%,56.4%,76.7%,81.9%,52.3%
南米東岸,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
南米東岸･南ア経由,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
アフリカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
オセアニア,,,製造食品,その他畜産品,製材,野菜・果物,木製品
,"49,872",1.7%,"7,935","6,965","6,898","5,609","3,729"
,352.9%,,316.5%,422.1%,282.2%,465.1%,151.7%
印パ･ペルシャ･ベンガル,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
東南アジア,,,衣服・身廻品・はきもの,電気機械,その他化学工業品,家具装備品,製造食品
,"1,214,878",40.4%,"200,282","146,095","102,960","83,892","73,630"
,110.6%,,117.1%,116.0%,124.1%,108.5%,106.8%
台湾,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
韓国,,,その他化学工業品,製造食品,産業機械,飲料,化学薬品
,"125,924",4.2%,"19,843","14,223","7,446","7,011","5,660"
,95.1%,,102.9%,106.9%,114.4%,58.5%,106.9%
中国(香港含む),,,衣服・身廻品・はきもの,電気機械,家具装備品,製造食品,野菜・果物
,"979,394",32.6%,"285,620","99,745","61,077","57,760","50,122"
,96.0%,,107.0%,94.3%,85.1%,89.0%,132.7%
ナホトカ,,,-,-,-,-,-
,-,-,-,-,-,-,-
,-,,-,-,-,-,-
各下段： 対前年比％,,,,,,,
