 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"309,714","119,629","2,737,763","1,023,550","92,533","117,297","835,250","998,044","217,181","2,332","1,902,513","25,506"
,99.8%,100.0%,100.0%,103.1%,96.5%,100.1%,97.4%,103.4%,101.2%,91.6%,101.1%,93.3%
外航計,"288,332","95,422","2,528,590","827,394","82,231","94,598","722,041","818,282","206,101",824,"1,806,549","9,112"
,101.1%,95.0%,100.2%,102.6%,100.2%,94.9%,97.8%,103.0%,101.5%,100.6%,101.2%,79.0%
外航定期計,"288,332","95,422","2,528,590","827,394","82,231","94,598","722,041","818,282","206,101",824,"1,806,549","9,112"
,101.1%,95.0%,100.2%,102.6%,100.2%,94.9%,97.8%,103.0%,101.5%,100.6%,101.2%,79.0%
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"44,635","13,756","357,049","127,783","19,369","13,617","130,316","125,718","25,266",139,"226,733","2,065"
,101.7%,93.7%,97.5%,101.6%,101.0%,94.3%,90.2%,103.7%,102.3%,56.5%,102.2%,44.7%
北米東岸(カリビア海含む),"9,340","1,403","97,725","18,563","3,926","1,403","41,205","18,309","5,414",-,"56,520",254
,88.6%,74.8%,92.8%,92.7%,82.0%,75.6%,79.5%,91.8%,94.1%,-,105.6%,362.9%
北欧・地中海,"18,137","1,289","165,625","17,273","7,947","1,258","73,831","16,919","10,190",31,"91,794",354
,97.9%,49.5%,105.5%,83.6%,98.7%,48.8%,108.0%,83.1%,97.3%,114.8%,103.6%,118.4%
南米西岸,"2,232","1,697","30,868","8,866",251,"1,685","1,135","7,657","1,981",12,"29,733","1,209"
,63.2%,184.5%,83.8%,94.6%,226.1%,186.0%,94.7%,84.5%,58.0%,85.7%,83.5%,387.5%
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
