 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"7,506,557 ","67,807,339 ","4,219,696 ","1,137,416 ","3,082,280 ","36,921,662 ","9,907,070 ","27,014,592 ","3,286,861 ","1,242,517 ","2,044,344 ","30,885,677 ","11,785,811 ","19,099,866 "
公共計,"3,431,522 ","31,374,400 ","1,195,118 ","211,881 ","983,237 ","10,598,464 ","2,043,259 ","8,555,205 ","2,236,404 ","1,136,776 ","1,099,628 ","20,775,936 ","10,659,915 ","10,116,021 "
ドルフィン,"5,795 ","53,529 ",-,-,-,-,-,-,"5,795 ","5,795 ",-,"53,529 ","53,529 ",-
芝浦ふ頭,"58,771 ","580,231 ",-,-,-,-,-,-,"58,771 ","1,818 ","56,953 ","580,231 ","15,721 ","564,510 "
芝浦物揚場,"6,745 ","67,193 ",-,-,-,-,-,-,"6,745 ","4,816 ","1,929 ","67,193 ","45,848 ","21,345 "
日の出ふ頭,"4,000 ","29,230 ",-,-,-,-,-,-,"4,000 ",-,"4,000 ","29,230 ",610 ,"28,620 "
竹芝ふ頭,"7,001 ","61,172 ",-,-,-,-,-,-,"7,001 ","4,774 ","2,227 ","61,172 ","40,712 ","20,460 "
品川岸壁,"662,741 ","5,896,935 ","406,048 ","82,813 ","323,235 ","3,302,073 ","754,245 ","2,547,828 ","256,693 ","155,249 ","101,444 ","2,594,862 ","1,555,963 ","1,038,899 "
 品川コンテナ,"403,193 ","3,221,913 ","403,193 ","82,214 ","320,979 ","3,221,846 ","740,502 ","2,481,344 ",-,-,-,67 ,7 ,60 
 品川外貿,"2,855 ","80,227 ","2,855 ",599 ,"2,256 ","80,227 ","13,743 ","66,484 ",-,-,-,-,-,-
 品川内貿,"256,693 ","2,594,795 ",-,-,-,-,-,-,"256,693 ","155,249 ","101,444 ","2,594,795 ","1,555,956 ","1,038,839 "
月島ふ頭,"1,276 ","12,405 ",-,-,-,-,-,-,"1,276 ",500 ,776 ,"12,405 ","5,342 ","7,063 "
10号西岸壁,"529,151 ","4,678,834 ",-,-,-,-,-,-,"529,151 ","314,092 ","215,059 ","4,678,834 ","2,733,870 ","1,944,964 "
10号東岸壁,"26,140 ","277,115 ",-,-,-,-,-,-,"26,140 ",49 ,"26,091 ","277,115 ","1,016 ","276,099 "
東京港フェリーふ頭,"900,345 ","8,100,045 ",-,-,-,-,-,-,"900,345 ","472,895 ","427,450 ","8,100,045 ","4,231,795 ","3,868,250 "
辰巳ふ頭,"28,612 ","274,121 ",-,-,-,-,-,-,"28,612 ","12,588 ","16,024 ","274,121 ","111,954 ","162,167 "
青海コンテナふ頭（公共）,"783,136 ","6,902,742 ","774,299 ","129,068 ","645,231 ","6,780,659 ","1,287,996 ","5,492,663 ","8,837 ","3,899 ","4,938 ","122,083 ","77,429 ","44,654 "
大井水産物ふ頭,665 ,"3,254 ",665 ,-,665 ,"3,051 ","1,018 ","2,033 ",-,-,-,203 ,60 ,143 
大井食品ふ頭（OL）,"13,464 ","228,710 ","5,635 ",-,"5,635 ","184,342 ",-,"184,342 ","7,829 ",-,"7,829 ","44,368 ",30 ,"44,338 "
大井食品ふ頭（OM）,"8,468 ","93,267 ","8,468 ",-,"8,468 ","93,267 ",-,"93,267 ",-,-,-,-,-,-
大井食品ふ頭（ON）,-,"13,932 ",-,-,-,"13,932 ",-,"13,932 ",-,-,-,-,-,-
若洲内貿ふ頭,"47,272 ","474,552 ",-,-,-,-,-,-,"47,272 ","33,596 ","13,676 ","474,552 ","343,068 ","131,484 "
15号地木材ふ頭,3 ,"73,663 ",3 ,-,3 ,"69,985 ",-,"69,985 ",-,-,-,"3,678 ","3,678 ",-
若洲建材ふ頭,"56,746 ","462,169 ",-,-,-,-,-,-,"56,746 ","4,697 ","52,049 ","462,169 ","22,838 ","439,331 "
大井建材ふ頭,"121,468 ","1,138,213 ",-,-,-,-,-,-,"121,468 ",-,"121,468 ","1,138,213 ","1,800 ","1,136,413 "
城南島建設発生土ふ頭,"74,880 ","864,080 ",-,-,-,-,-,-,"74,880 ","74,880 ",-,"864,080 ","864,080 ",-
中央防波堤内側ばら物ふ頭,"4,465 ","187,525 ",-,-,-,"151,155 ",-,"151,155 ","4,465 ",30 ,"4,435 ","36,370 ","5,688 ","30,682 "
中央防波堤内側建設発生土ふ頭,"6,569 ","176,773 ",-,-,-,-,-,-,"6,569 ","6,569 ",-,"176,773 ","176,773 ",-
中央防波堤内側内貿ふ頭,"83,809 ","722,960 ",-,-,-,-,-,-,"83,809 ","40,529 ","43,280 ","722,960 ","368,111 ","354,849 "
その他,-,"1,750 ",-,-,-,-,-,-,-,-,-,"1,750 ",-,"1,750 "
東京港埠頭㈱計,"2,890,173 ","25,659,349 ","2,779,647 ","872,719 ","1,906,928 ","24,446,730 ","7,481,954 ","16,964,776 ","110,526 ","43,389 ","67,137 ","1,212,619 ","611,130 ","601,489 "
青海コンテナふ頭(埠頭㈱),"560,845 ","5,340,474 ","551,059 ","110,561 ","440,498 ","5,252,898 ","1,135,559 ","4,117,339 ","9,786 ","6,300 ","3,486 ","87,576 ","80,018 ","7,558 "
お台場ライナーふ頭,"95,008 ","685,948 ","77,234 ","58,806 ","18,428 ","547,175 ","381,855 ","165,320 ","17,774 ","2,082 ","15,692 ","138,773 ","13,354 ","125,419 "
大井コンテナふ頭,"2,234,320 ","19,632,927 ","2,151,354 ","703,352 ","1,448,002 ","18,646,657 ","5,964,540 ","12,682,117 ","82,966 ","35,007 ","47,959 ","986,270 ","517,758 ","468,512 "
民間計,"1,184,862 ","10,773,590 ","244,931 ","52,816 ","192,115 ","1,876,468 ","381,857 ","1,494,611 ","939,931 ","62,352 ","877,579 ","8,897,122 ","514,766 ","8,382,356 "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
