 3-(2)海上出入貨物品種別表,,,,,,,,,,,,,,,(単位：トン）
品種,,合計,,輸出,,,,輸入,,,,移出,,移入,
30,非鉄金属,"24,559","220,981","7,686","70,682","7,679","70,670","12,223","113,915","12,223","113,908",455,"5,330","4,195","31,054"
31,金属製品,"151,820","1,352,848","27,710","242,586","27,695","242,557","117,162","1,046,574","117,070","1,033,526","4,019","40,558","2,929","23,130"
32,鉄道車両,362,"2,625",33,553,33,553,329,"2,057",329,"2,047",-,15,-,-
33,完成自動車,"1,164,176","10,535,007","9,611","71,203","9,527","70,635","3,759","20,249","3,734","19,141","655,820","5,959,101","494,986","4,484,454"
34,その他輸送用車両,"12,625","97,463",421,"1,919",421,"1,844","9,341","73,410","8,931","66,340","2,160","12,446",703,"9,688"
35,二輪自動車,"4,544","45,844",454,"5,270",454,"5,270","3,971","39,822","3,971","39,822",20,451,99,301
36,自動車部品,"255,906","1,898,520","169,112","1,159,962","169,112","1,159,962","81,654","666,618","81,637","666,291","1,515","22,476","3,625","49,464"
37,その他輸送機械,"48,332","466,279","3,598","33,034","3,598","33,032","27,868","270,854","27,868","262,599","6,838","71,596","10,028","90,795"
38,産業機械,"309,366","2,788,829","162,878","1,449,446","161,628","1,441,165","125,407","1,154,379","125,257","1,153,692","15,364","124,556","5,717","60,448"
39,電気機械,"331,773","2,948,415","64,706","555,953","64,584","554,894","261,706","2,345,374","261,671","2,343,466","3,661","33,337","1,700","13,751"
40,測量・光学・医療用機械,"52,070","443,618","20,968","166,416","20,606","159,136","30,099","259,120","30,096","259,106",77,"9,114",926,"8,968"
41,事務用機器,"22,980","183,851","2,800","26,541","2,800","26,541","11,311","110,621","11,311","110,621","8,779","45,914",90,775
42,その他機械,"4,168","42,548",740,"8,207",740,"8,207","1,718","18,870","1,718","18,870",665,"7,563","1,045","7,908"
化学工業品,,"1,184,704","10,578,314","207,837","1,776,919","207,836","1,776,811","310,889","2,753,061","310,874","2,719,932","43,587","379,662","622,391","5,668,672"
43,陶磁器,"11,668","114,705",956,"9,146",955,"9,145","10,637","104,990","10,637","104,990",75,569,-,-
44,セメント,"233,992","2,074,577",47,"3,083",47,"3,083","1,260","9,855","1,260","9,855","2,667","20,075","230,018","2,041,564"
45,ガラス類,"29,503","227,669","8,988","60,919","8,988","60,919","18,979","153,205","18,979","153,200","1,486","13,112",50,433
46,窯業品,"35,397","334,592","11,686","118,442","11,686","118,439","19,207","171,438","19,202","171,433","2,749","22,059","1,755","22,653"
47,重油,"45,930","366,059",-,-,-,-,-,-,-,-,"22,446","176,535","23,484","189,524"
48,揮発油,1,604,-,-,-,-,-,-,-,-,1,604,-,-
49,その他の石油,"357,938","3,335,208","2,633","15,256","2,633","15,256","1,664","15,135","1,664","15,135","1,727","14,992","351,914","3,289,825"
50,LNG/液化天然ガス,60,342,-,-,-,-,60,322,60,322,-,-,-,20
51,LPG/液化石油ガス,394,"5,101",-,-,-,-,-,-,-,-,394,"4,996",-,105
52,その他石油製品,"5,523","44,408","1,542","12,665","1,542","12,665","1,637","14,661","1,637","14,661",849,"5,522","1,495","11,560"
53,コークス,"5,482","66,630",-,-,-,-,"1,077","42,743","1,077","9,668",-,"3,428","4,405","20,459"
54,石炭製品,265,"3,966",250,"3,542",250,"3,542",15,424,15,424,-,-,-,-
55,化学薬品,"89,562","768,884","26,024","215,433","26,024","215,433","54,984","469,515","54,984","469,515","3,664","34,985","4,890","48,951"
56,化学肥料,"5,983","46,853",230,"1,719",230,"1,719","5,338","38,297","5,338","38,297",200,"3,347",215,"3,490"
57,その他化学工業品,"363,006","3,188,716","155,481","1,336,714","155,481","1,336,610","196,031","1,732,476","196,021","1,732,432","7,329","79,438","4,165","40,088"
軽工業品,,"670,920","6,151,767","53,741","477,656","53,735","477,586","395,786","3,610,413","395,507","3,596,525","67,048","617,148","154,345","1,446,550"
58,紙・パルプ,"217,832","1,959,666","19,516","199,647","19,511","199,580","60,152","541,689","59,881","527,941","23,373","145,834","114,791","1,072,496"
59,糸及び紡績半製品,"5,410","45,426",317,"2,887",317,"2,887","5,063","40,119","5,063","40,119",-,371,30,"2,049"
60,その他繊維工業品,"29,566","287,818","4,709","45,378","4,708","45,375","24,757","240,658","24,757","240,643",15,"1,500",85,282
61,砂糖,"11,059","109,270",20,245,20,245,"4,079","40,476","4,079","40,476","1,760","16,582","5,200","51,967"
62,製造食品,"263,025","2,286,923","24,592","187,206","24,592","187,206","216,089","1,874,237","216,081","1,874,191","14,472","149,751","7,872","75,729"
63,飲料,"91,703","922,605","4,023","37,999","4,023","37,999","54,291","543,525","54,291","543,446","21,417","223,006","11,972","118,075"
64,水,"22,016","203,298",560,"3,729",560,"3,729","15,525","138,506","15,525","138,506","4,271","45,666","1,660","15,397"
65,たばこ,"6,889","72,249",-,127,-,127,"5,639","59,767","5,639","59,767",805,"7,070",445,"5,285"
66,その他食料工業品,"23,420","264,512",4,438,4,438,"10,191","131,436","10,191","131,436",935,"27,368","12,290","105,270"
雑工業品,,"1,099,089","8,841,004","94,859","870,054","94,856","870,016","971,638","7,644,587","971,616","7,644,173","26,561","265,546","6,031","60,817"
67,がん具,"61,658","484,591","2,159","15,166","2,159","15,166","59,499","469,287","59,499","469,287",-,138,-,-
68,衣服・身廻品・はきもの,"515,768","3,549,342","11,305","116,329","11,305","116,311","504,328","3,419,435","504,328","3,419,432",75,"11,331",60,"2,247"
69,文房具・運動娯楽用品・楽器,"63,736","624,457","11,656","95,651","11,653","95,647","51,869","517,004","51,850","516,760",176,"9,302",35,"2,500"
70,家具装備品,"174,027","1,614,004","9,564","77,578","9,564","77,578","162,138","1,510,408","162,138","1,510,381","1,435","17,359",890,"8,659"
71,その他日用品,"55,800","598,262","9,881","102,587","9,881","102,587","28,377","323,574","28,377","323,574","15,671","150,487","1,871","21,614"
72,ゴム製品,"70,635","629,436","26,463","265,366","26,463","265,366","41,593","341,054","41,592","341,053","1,489","16,007","1,090","7,009"
73,木製品,"99,928","865,855",803,"6,418",803,"6,402","96,934","840,940","96,934","840,860","2,181","18,073",10,424
74,その他製造工業品,"57,537","475,057","23,028","190,959","23,028","190,959","26,900","222,885","26,898","222,826","5,534","42,849","2,075","18,364"
特殊品,,"1,037,329","9,920,945","268,170","2,448,392","208,951","2,078,402","193,337","1,690,708","182,417","1,612,965","373,604","3,890,011","202,218","1,891,834"
75,金属くず,"71,621","492,890","64,276","408,856","5,832","49,392","4,972","52,111","4,972","51,939",907,"16,204","1,466","15,719"
76,再利用資材,"182,658","1,962,558","163,537","1,675,243","163,537","1,675,243","2,304","35,626","2,304","35,626","14,757","237,352","2,060","14,337"
77,動植物性製造飼肥料,"91,040","838,119","1,792","18,711","1,792","18,711","83,703","763,795","83,703","763,795","5,100","52,313",445,"3,300"
78,廃棄物,799,"11,517",-,-,-,-,-,-,-,-,245,"3,335",554,"8,182"
79,廃土砂,"114,158","1,263,153",-,-,-,-,-,-,-,-,"114,154","1,262,859",4,294
80,輸送用容器,"139,533","1,165,115","17,909","150,223","17,134","139,697","93,831","785,628","82,911","708,057","9,144","80,551","18,649","148,713"
81,取合せ品,"437,520","4,187,593","20,656","195,359","20,656","195,359","8,527","53,548","8,527","53,548","229,297","2,237,397","179,040","1,701,289"
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
