 2-(2)入港船舶航路別表,,,,,,,,(単位：隻、総トン）
航路別,合計,,,,コンテナ船,,,
,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,922","15,025,651","18,007","135,439,269",679,"12,685,466","6,148","114,221,653"
外航計,446,"11,149,751","4,089","101,058,766",417,"10,664,145","3,818","96,627,462"
外航定期計,419,"10,687,612","3,824","96,730,512",417,"10,664,145","3,818","96,627,462"
世界一周,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),46,"3,032,780",427,"27,036,777",46,"3,032,780",427,"27,036,777"
北米東岸(カリビア海含む),8,"626,528",79,"6,155,454",8,"626,528",79,"6,155,454"
北欧・地中海,7,"505,858",46,"4,368,557",6,"491,696",45,"4,354,395"
南米西岸,3,"367,719",36,"3,374,315",3,"367,719",36,"3,374,315"
南米東岸,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-
オセアニア,10,"414,817",99,"3,170,619",10,"414,817",99,"3,170,619"
印パ･ペルシャ･ベンガル,-,-,16,"785,499",-,-,16,"785,499"
東南アジア,143,"3,530,066","1,280","30,999,501",142,"3,520,761","1,276","30,962,530"
台湾,-,-,-,-,-,-,-,-
韓国,44,"387,067",409,"3,695,574",44,"387,067",409,"3,695,574"
中国(香港含む),158,"1,822,777","1,432","17,144,216",158,"1,822,777","1,431","17,092,299"
ナホトカ,-,-,-,-,-,-,-,-
外航不定期,27,"462,139",265,"4,328,254",-,-,-,-
内航計,"1,476","3,875,900","13,918","34,380,503",262,"2,021,321","2,330","17,594,191"
内航定期計,547,"2,667,382","4,770","23,394,209",246,"1,943,093","2,203","17,107,511"
北海道,104,"1,146,231",882,"9,779,366",104,"1,146,231",882,"9,779,366"
東北,43,"31,761",449,"325,713",41,"30,263",416,"300,996"
関東,102,"29,077",846,"332,079",-,-,-,-
伊豆諸島,167,"314,634","1,425","2,642,295",-,-,-,-
中部,23,"29,337",192,"240,688",23,"29,337",189,"238,441"
近畿,9,"6,741",79,"59,171",9,"6,741",79,"59,171"
中国,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-
九州,77,"876,292",687,"7,794,602",47,"497,212",427,"4,509,242"
沖縄,22,"233,309",210,"2,220,295",22,"233,309",210,"2,220,295"
内航不定期,929,"1,208,518","9,148","10,986,294",16,"78,228",127,"486,680"
,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
