 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"7,506,557","2,379,933","5,126,624","67,807,339","21,692,881","46,114,458","5,134,388","1,662,425","3,471,963","45,332,851","15,039,538","30,293,313"
外航計,"4,219,696","1,137,416","3,082,280","36,921,662","9,907,070","27,014,592","4,118,595","1,078,477","3,040,118","35,830,843","9,522,743","26,308,100"
外航定期計,"4,131,928","1,078,610","3,053,318","35,868,309","9,523,315","26,344,994","4,118,595","1,078,477","3,040,118","35,830,843","9,522,743","26,308,100"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"623,885","239,646","384,239","5,020,310","1,675,139","3,345,171","623,885","239,646","384,239","5,020,310","1,675,139","3,345,171"
北米東岸(カリビア海含む),"128,810","48,312","80,498","1,273,946","450,525","823,421","128,810","48,312","80,498","1,273,946","450,525","823,421"
北欧・地中海,"250,416","105,859","144,557","2,285,696","997,309","1,288,387","250,401","105,859","144,542","2,285,681","997,309","1,288,372"
南米西岸,"32,007","3,466","28,541","437,909","13,817","424,092","32,007","3,466","28,541","437,909","13,817","424,092"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"58,730","8,858","49,872","601,823","93,536","508,287","58,730","8,858","49,872","601,823","93,536","508,287"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,694,462","434,654","1,259,808","14,563,445","3,825,733","10,737,712","1,681,144","434,521","1,246,623","14,533,845","3,825,161","10,708,684"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"175,226","49,070","126,156","1,469,469","406,459","1,063,010","175,226","49,070","126,156","1,469,469","406,459","1,063,010"
中国(香港含む),"1,168,392","188,745","979,647","9,886,835","1,797,987","8,088,848","1,168,392","188,745","979,647","9,878,984","1,797,987","8,080,997"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"87,768","58,806","28,962","1,053,353","383,755","669,598",-,-,-,-,-,-
内航計,"3,286,861","1,242,517","2,044,344","30,885,677","11,785,811","19,099,866","1,015,793","583,948","431,845","9,502,008","5,516,795","3,985,213"
内航定期計,"1,941,531","1,069,487","872,044","17,614,792","9,680,771","7,934,021","981,778","564,698","417,080","9,008,646","5,178,315","3,830,331"
北海道,"361,838","200,115","161,723","3,470,832","1,947,852","1,522,980","361,838","200,115","161,723","3,470,832","1,947,852","1,522,980"
東北,"26,516","11,521","14,995","289,365","141,478","147,887","26,208","11,521","14,687","270,213","133,702","136,511"
関東,"52,099","27,120","24,979","421,159","222,173","198,986",-,-,-,-,-,-
伊豆諸島,"7,001","4,774","2,227","63,572","40,712","22,860",-,-,-,-,-,-
中部,"17,620","5,265","12,355","102,237","18,452","83,785","17,620","5,265","12,355","100,019","18,452","81,567"
近畿,"3,439",109,"3,330","28,590","1,371","27,219","3,439",109,"3,330","28,590","1,371","27,219"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,364,941","738,399","626,542","12,201,064","6,534,760","5,666,304","464,596","265,504","199,092","4,101,019","2,302,965","1,798,054"
沖縄,"108,077","82,184","25,893","1,037,973","773,973","264,000","108,077","82,184","25,893","1,037,973","773,973","264,000"
内航不定期,"1,345,330","173,030","1,172,300","13,270,885","2,105,040","11,165,845","34,015","19,250","14,765","493,362","338,480","154,882"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
