"年度[西暦]","税目","調定額[千円]","収入済額[千円]","収入歩合[%]"
"2016","特別区民税","73558970","70416793","95.7"
"2016","軽自動車税","82557","72342","87.6"
"2016","特別区たばこ税","6334888","6334528","100.0"
"2016","入湯税","2730","2730","100.0"
"2016","合計","79979145","76826393","96.1"
"2017","特別区民税","73234859","70765132","96.6"
"2017","軽自動車税","82973","72764","87.7"
"2017","特別区たばこ税","5902419","5902419","100.0"
"2017","入湯税","3113","3113","100.0"
"2017","合計","79223364","76743428","96.9"
"2018","特別区民税","74890376","72589292","96.9"
"2018","軽自動車税","84005","73319","87.3"
"2018","特別区たばこ税","5713290","5713291","100.0"
"2018","入湯税","3425","3425","100.0"
"2018","合計","80691096","78379327","97.1"
"2019","特別区民税","82472722","80055657","97.1"
"2019","軽自動車税","85746","74498","86.9"
"2019","特別区たばこ税","6039478","6039478","100.0"
"2019","入湯税","3462","3462","100.0"
"2019","合計","88601409","86173095","97.3"
"2020","特別区民税","80882201","78252981","96.7"
"2020","軽自動車税","89276","78227","87.6"
"2020","特別区たばこ税","4517756","4517756","100.0"
"2020","入湯税","1674","1674","100.0"
"2020","合計","85490907","82850638","96.9"

"令和3年度港区行政資料集　特別区税徴収実績","Ver202103",,,
