計画相談支援実績,千代田区,中央区,港区,新宿区,文京区,台東区,墨田区,江東区,品川区,目黒区,大田区,世田谷区,渋谷区,中野区,杉並区,豊島区,北区,荒川区,板橋区,練馬区,足立区,葛飾区,江戸川区,八王子市,立川市,武蔵野市,三鷹市,青梅市,府中市,昭島市,調布市,町田市,小金井市,小平市,日野市,東村山市,国分寺市,国立市,福生市,狛江市,東大和市,清瀬市,東久留米市,武蔵村山市,多摩市,稲城市,羽村市,あきる野市,西東京市,瑞穂町,日の出町,檜原村,奥多摩町,大島町,利島村,新島村,神津島村,三宅村,御蔵島村,八丈町,青ヶ島村,小笠原村
進捗率,87.4,99.3,86.7,99.1,85.6,97.6,97.2,96.6,92.9,93.9,99.9,93.3,73.7,93.8,98.3,92.7,96.8,98.8,92.2,97.2,95.4,96.3,97.4,100,99.2,96.8,97.6,97.5,95.7,97,91.7,86.2,100,97.1,93.9,98.8,100,100,95.6,93.4,99.5,97.1,94.4,96.3,98,98.7,96,97.5,97.9,100,98.5,100,85.2,100,100,50,25,50,100,96.5,0,0
セルフ率,35.9,0,3.3,43.8,41.1,38.1,9.3,18.4,0.3,19.6,17.6,23.6,4.6,15.6,0.1,21.2,31.1,8.5,25.1,18.9,40.4,22.9,10.9,60.7,1.4,6.1,7.3,1.2,40.9,0.5,41.4,67.6,33.4,4.1,34.8,2.8,2.7,30.6,5.7,8.1,2.6,21.3,15.2,12.6,38.9,37.2,3.9,0.6,14.5,1.8,3.7,0,8.7,57.4,0,0,0,0,0,76.8,0,0
