区分,18年度,19年度,20年度,21年度,22年度,23年度,24年度,25年度,26年度,27年度,28年度
初任者研修修了者数,729,529,269,220,215,287,527,598,648,762,718
初任申込み者数,1016,601,300,230,298,539,1349,1171,1369,1146,800
現任研修修了者数,,,,44,141,150,138,149,191,315,388
現任申込み者数,,,,77,150,152,147,155,199,346,403
