,,,,,,,,,(単位：トン）,,,,,,,
42,その他機械,"60,590","22,362","38,228","72,305","25,466","46,839","-11,715",83.8%,,,,,,,
化学工業品,,"14,318,293","2,935,628","11,382,665","13,656,567","2,818,378","10,838,189","661,726",104.8%,,,,,,,
43,陶磁器,"149,666","11,957","137,709","156,819","10,686","146,133","-7,153",95.4%,,,,,,,
44,セメント,"2,867,437","32,968","2,834,469","2,641,260","40,452","2,600,808","226,177",108.6%,,,,,,,
45,ガラス類,"309,445","106,132","203,313","219,142","84,134","135,008","90,303",141.2%,,,,,,,
46,窯業品,"433,885","178,125","255,760","425,263","137,217","288,046","8,622",102.0%,,,,,,,
47,重油,"503,515","242,732","260,783","371,257","176,110","195,147","132,258",135.6%,,,,,,,
48,揮発油,"1,066",823,243,-,-,-,"1,066",-,,,,,,,
49,その他の石油,"4,495,611","42,574","4,453,037","4,420,582","42,785","4,377,797","75,029",101.7%,,,,,,,
50,LNG/液化天然ガス,214,-,214,396,18,378,-182,54.0%,,,,,,,
51,LPG/液化石油ガス,"7,816","6,734","1,082","6,733","6,548",185,"1,083",116.1%,,,,,,,
52,その他石油製品,"60,259","24,585","35,674","60,152","18,359","41,793",107,100.2%,,,,,,,
53,コークス,"73,729","7,969","65,760","40,323","2,321","38,002","33,406",182.8%,,,,,,,
54,石炭製品,"5,464","4,825",639,"8,264","7,844",420,"-2,800",66.1%,,,,,,,
55,化学薬品,"1,048,708","341,669","707,039","1,063,371","362,926","700,445","-14,663",98.6%,,,,,,,
56,化学肥料,"63,009","6,131","56,878","61,133","7,832","53,301","1,876",103.1%,,,,,,,
57,その他化学工業品,"4,298,469","1,928,404","2,370,065","4,181,872","1,921,146","2,260,726","116,597",102.8%,,,,,,,
軽工業品,,"8,281,656","1,494,774","6,786,882","8,710,342","1,587,422","7,122,920","-428,686",95.1%,,,,,,,
58,紙・パルプ,"2,660,077","494,594","2,165,483","2,969,070","527,882","2,441,188","-308,993",89.6%,,,,,,,
59,糸及び紡績半製品,"59,419","3,872","55,547","82,265","7,491","74,774","-22,846",72.2%,,,,,,,
60,その他他繊維工業品,"381,022","60,995","320,027","411,760","65,430","346,330","-30,738",92.5%,,,,,,,
61,砂糖,"143,372","21,843","121,529","124,826","16,188","108,638","18,546",114.9%,,,,,,,
62,製造食品,"3,127,556","462,192","2,665,364","3,039,726","455,259","2,584,467","87,830",102.9%,,,,,,,
63,飲料,"1,205,883","341,105","864,778","1,288,365","356,398","931,967","-82,482",93.6%,,,,,,,
64,水,"259,726","66,723","193,003","327,211","116,907","210,304","-67,485",79.4%,,,,,,,
65,たばこ,"94,378","9,003","85,375","103,659","13,228","90,431","-9,281",91.0%,,,,,,,
66,その他食料工業品,"350,223","34,447","315,776","363,460","28,639","334,821","-13,237",96.4%,,,,,,,
雑工業品,,"12,074,588","1,533,408","10,541,180","11,944,548","1,512,269","10,432,279","130,040",101.1%,,,,,,,
67,がん具,"699,343","22,390","676,953","660,795","18,163","642,632","38,548",105.8%,,,,,,,
68,衣服・身廻品・はきもの,"4,880,364","171,493","4,708,871","4,815,801","196,273","4,619,528","64,563",101.3%,,,,,,,
69,文房具・運動娯楽用品・楽器,"833,249","137,793","695,456","829,735","139,326","690,409","3,514",100.4%,,,,,,,
70,家具装備品,"2,192,372","131,095","2,061,277","2,230,527","118,616","2,111,911","-38,155",98.3%,,,,,,,
71,その他日用品,"783,090","335,803","447,287","780,471","293,256","487,215","2,619",100.3%,,,,,,,
72,ゴム製品,"833,413","375,296","458,117","839,344","393,139","446,205","-5,931",99.3%,,,,,,,
73,木製品,"1,204,680","34,143","1,170,537","1,157,334","31,449","1,125,885","47,346",104.1%,,,,,,,
74,その他製造工業品,"648,077","325,395","322,682","630,541","322,047","308,494","17,536",102.8%,,,,,,,
特殊品,,"13,168,489","8,306,014","4,862,475","14,683,180","9,052,654","5,630,526","-1,514,691",89.7%,,,,,,,
75,金属くず,"652,275","560,011","92,264","705,479","619,473","86,006","-53,204",92.5%,,,,,,,
76,再利用資材,"2,541,568","2,474,347","67,221","2,803,898","2,735,812","68,086","-262,330",90.6%,,,,,,,
77,動植物性製造飼肥料,"1,123,232","90,422","1,032,810","1,133,827","71,502","1,062,325","-10,595",99.1%,,,,,,,
78,廃棄物,"14,400","4,160","10,240","14,050","4,755","9,295",350,102.5%,,,,,,,
79,廃土砂,"1,634,652","1,634,249",403,"1,990,989","1,988,532","2,457","-356,337",82.1%,,,,,,,
80,輸送用容器,"1,565,950","316,207","1,249,743","1,587,563","300,930","1,286,633","-21,613",98.6%,,,,,,,
81,取合せ品,"5,636,412","3,226,618","2,409,794","6,447,374","3,331,650","3,115,724","-810,962",87.4%,,,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,,,
