 10 輸出貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,
品種,,上海,レムチャバン,ロングビーチ,ロサンゼルス,ロッテルダム,香港,タコマ,サバンナ,品種,,ポートケラン,ハイフォン,寧波－舟山,釜山,ジャカルタ,太倉,シンガポール,,,,
合計,,"935,640","692,673","667,077","642,302","533,314","483,528","482,152","379,363",合計,,"341,840","328,330","309,324","305,188","281,684","242,792","241,399",,,,
農水産品,,567,"55,521","1,625","4,655",480,"21,456","1,099",120,農水産品,,"1,832","8,343",547,"4,466","1,403",-,"8,582",,,,
1,麦,-,-,-,-,-,-,-,-,1,麦,-,-,-,-,-,-,-,,,,
2,米,-,1,94,997,88,455,5,-,2,米,12,-,-,-,-,-,320,,,,
3,とうもろこし,-,-,-,-,-,-,60,-,3,とうもろこし,-,-,-,-,-,-,-,,,,
4,豆類,11,-,60,2,-,80,36,120,4,豆類,-,-,-,-,-,-,-,,,,
5,その他雑穀,-,-,-,-,-,-,19,-,5,その他雑穀,-,-,-,-,-,-,-,,,,
6,野菜・果物,60,"1,306",138,77,45,"7,598",-,-,6,野菜・果物,363,516,15,45,76,-,"1,067",,,,
7,綿花,-,-,-,-,-,-,-,-,7,綿花,-,-,-,-,-,-,-,,,,
8,その他農産品,233,2,260,685,120,478,-,-,8,その他農産品,645,69,427,63,-,-,"1,409",,,,
9,羊毛,-,-,-,-,-,-,-,-,9,羊毛,-,-,-,-,-,-,-,,,,
10,その他畜産品,233,"17,982",80,475,16,"7,545",-,-,10,その他畜産品,-,"1,860",-,779,-,-,935,,,,
11,水産品,30,"36,230",993,"2,419",211,"5,300",979,-,11,水産品,812,"5,898",105,"3,579","1,327",-,"4,851",,,,
林産品,,"5,383",124,15,101,-,-,-,-,林産品,,-,-,17,22,51,270,2,,,,
12,原木,-,-,-,-,-,-,-,-,12,原木,-,-,-,22,-,-,-,,,,
13,製材,"5,225",-,-,-,-,-,-,-,13,製材,-,-,-,-,-,270,-,,,,
14,樹脂類,128,1,-,-,-,-,-,-,14,樹脂類,-,-,-,-,51,-,2,,,,
15,木材チップ,-,123,-,-,-,-,-,-,15,木材チップ,-,-,-,-,-,-,-,,,,
16,その他林産品,30,-,-,-,-,-,-,-,16,その他林産品,-,-,17,-,-,-,-,,,,
17,薪炭,-,-,15,101,-,-,-,-,17,薪炭,-,-,-,-,-,-,-,,,,
鉱産品,,"3,478",497,327,337,25,233,12,-,鉱産品,,179,106,135,871,"1,257",-,37,,,,
18,石炭,-,-,-,-,-,-,-,-,18,石炭,-,-,-,-,-,-,-,,,,
19,鉄鉱石,-,10,-,21,-,-,-,-,19,鉄鉱石,-,-,-,-,-,-,-,,,,
20,金属鉱,-,-,-,-,-,-,-,-,20,金属鉱,-,-,-,-,-,-,-,,,,
21,砂利・砂,97,-,-,-,-,-,-,-,21,砂利・砂,83,-,-,-,575,-,-,,,,
22,石材,-,-,-,3,-,-,-,-,22,石材,1,-,-,-,-,-,1,,,,
23,原油,-,-,-,-,-,-,-,-,23,原油,-,-,-,-,-,-,-,,,,
24,りん鉱石,-,-,-,-,-,-,-,-,24,りん鉱石,-,-,-,-,-,-,-,,,,
25,石灰石,-,-,-,-,-,-,-,-,25,石灰石,-,-,-,-,-,-,-,,,,
26,原塩,-,11,-,-,-,-,-,-,26,原塩,-,-,-,-,-,-,-,,,,
27,非金属鉱物,"3,381",476,327,313,25,233,12,-,27,非金属鉱物,95,106,135,871,682,-,36,,,,
金属機械工業品,,"293,921","290,196","504,190","453,446","347,144","178,382","402,158","287,271",金属機械工業品,,"158,962","127,038","10,563","109,562","192,893","24,951","115,346",,,,
28,鉄鋼,"2,211","3,448",340,"1,075",100,"1,104",154,13,28,鉄鋼,819,-,-,575,646,165,117,,,,
29,鋼材,"6,981","25,109","14,412","7,443","1,246","2,919","2,210","10,311",29,鋼材,"1,592","36,582","2,052","7,563","4,740",-,"2,246",,,,
30,非鉄金属,"7,945","7,881","2,763","3,276","1,005","5,588","2,849",571,30,非鉄金属,"3,469",534,49,"3,114",299,85,"1,322",,,,
31,金属製品,"17,945","24,763","20,639","18,924","3,023","7,829","13,887","3,181",31,金属製品,"47,924","4,251","3,526","11,914","7,575","3,574","5,073",,,,
32,鉄道車両,195,-,270,54,-,-,-,-,32,鉄道車両,-,-,-,-,317,-,-,,,,
33,完成自動車,102,264,580,358,72,160,554,"4,949",33,完成自動車,"12,980","8,073",-,"1,507","7,714",-,40,,,,
