,,,,,,,,,(単位：トン）,,
品種,,平成30年(2018年),0,0,平成29年(2017年),0,0,前年比較,,,
,,計,移出,移入,計,移出,移入,計：増減,前年比,,
合計,,"41,717,661","15,751,422","25,966,239","40,663,990","15,791,781","24,872,209","1,053,671",102.6%,,
農水産品,,"404,410","219,628","184,782","346,335","165,668","180,667","58,075",116.8%,,
1,麦,"87,227","14,397","72,830","92,057","10,336","81,721","-4,830",94.8%,,
2,米,"47,145","32,915","14,230","19,444","11,574","7,870","27,701",242.5%,,
3,とうもろこし,"1,734","1,734",-,830,815,15,904,208.9%,,
4,豆類,"19,424","14,654","4,770","14,004","9,249","4,755","5,420",138.7%,,
5,その他雑穀,"1,315","1,050",265,"1,360",695,665,-45,96.7%,,
6,野菜・果物,"138,803","85,112","53,691","123,392","72,622","50,770","15,411",112.5%,,
7,綿花,95,85,10,150,150,-,-55,63.3%,,
8,その他農産品,"12,921","9,950","2,971","17,734","12,767","4,967","-4,813",72.9%,,
9,羊毛,126,126,-,22,22,-,104,572.7%,,
10,その他畜産品,"35,043","24,263","10,780","26,412","21,167","5,245","8,631",132.7%,,
11,水産品,"60,577","35,342","25,235","50,930","26,271","24,659","9,647",118.9%,,
林産品,,"117,774","88,608","29,166","78,493","49,783","28,710","39,281",150.0%,,
12,原木,137,117,20,40,-,40,97,342.5%,,
13,製材,"91,777","74,218","17,559","54,875","37,687","17,188","36,902",167.2%,,
14,樹脂類,"19,517","10,850","8,667","17,196","8,080","9,116","2,321",113.5%,,
15,木材チップ,907,23,884,870,-,870,37,104.3%,,
16,その他林産品,"5,031","3,050","1,981","5,242","3,786","1,456",-211,96.0%,,
17,薪炭,405,350,55,270,230,40,135,150.0%,,
鉱産品,,"5,916,806","71,630","5,845,176","5,591,528","58,550","5,532,978","325,278",105.8%,,
18,石炭,"12,813",255,"12,558","30,833","13,627","17,206","-18,020",41.6%,,
19,鉄鉱石,-,-,-,-,-,-,-,-,,
20,金属鉱,"4,084","4,084",-,725,705,20,"3,359",563.3%,,
