,,,,,,,,,(単位：トン）,,,,,
品種,,平成30年(2018年),0,0,平成29年(2017年),0,0,前年比較,,,,,,
,,計,輸出,輸入,計,輸出,輸入,計：増減,前年比,,,,,
合計,,"49,825,795","13,288,658","36,537,137","50,116,156","13,508,587","36,607,569","-290,361",99.4%,,,,,
農水産品,,"5,495,119","317,534","5,177,585","5,394,370","371,104","5,023,266","100,749",101.9%,,,,,
1,麦,"269,947",18,"269,929","259,817",45,"259,772","10,130",103.9%,,,,,
2,米,"23,948","3,145","20,803","25,787","3,127","22,660","-1,839",92.9%,,,,,
3,とうもろこし,"7,164",120,"7,044","5,205",37,"5,168","1,959",137.6%,,,,,
4,豆類,"149,303",342,"148,961","124,914",191,"124,723","24,389",119.5%,,,,,
5,その他雑穀,"7,333",19,"7,314","3,341",104,"3,237","3,992",219.5%,,,,,
6,野菜・果物,"1,925,366","34,597","1,890,769","1,838,348","30,238","1,808,110","87,018",104.7%,,,,,
7,綿花,381,-,381,516,12,504,-135,73.8%,,,,,
8,その他農産品,"241,629","8,299","233,330","244,717","9,267","235,450","-3,088",98.7%,,,,,
9,羊毛,833,-,833,692,-,692,141,120.4%,,,,,
10,その他畜産品,"1,705,841","35,191","1,670,650","1,655,687","37,892","1,617,795","50,154",103.0%,,,,,
11,水産品,"1,163,374","235,803","927,571","1,235,346","290,191","945,155","-71,972",94.2%,,,,,
林産品,,"1,142,773","24,010","1,118,763","1,214,787","26,154","1,188,633","-72,014",94.1%,,,,,
12,原木,"6,457","2,870","3,587","4,702","2,342","2,360","1,755",137.3%,,,,,
13,製材,"993,093","20,429","972,664","1,059,705","22,089","1,037,616","-66,612",93.7%,,,,,
14,樹脂類,"78,935",347,"78,588","85,662","1,331","84,331","-6,727",92.1%,,,,,
15,木材チップ,"13,315",123,"13,192","4,156",229,"3,927","9,159",320.4%,,,,,
16,その他林産品,864,80,784,"4,679",6,"4,673","-3,815",18.5%,,,,,
17,薪炭,"50,109",161,"49,948","55,883",157,"55,726","-5,774",89.7%,,,,,
鉱産品,,"466,767","18,548","448,219","474,518","18,168","456,350","-7,751",98.4%,,,,,
18,石炭,"116,720",1,"116,719","132,313",79,"132,234","-15,593",88.2%,,,,,
19,鉄鉱石,259,31,228,294,21,273,-35,88.1%,,,,,
20,金属鉱,"9,764",6,"9,758","5,715",70,"5,645","4,049",170.8%,,,,,
21,砂利・砂,"26,071",923,"25,148","20,870",793,"20,077","5,201",124.9%,,,,,
22,石材,"98,174","3,213","94,961","105,004","1,359","103,645","-6,830",93.5%,,,,,
23,原油,"1,920",-,"1,920","2,250",-,"2,250",-330,85.3%,,,,,
24,りん鉱石,-,-,-,57,-,57,-57,-,,,,,
25,石灰石,"2,879",-,"2,879",854,-,854,"2,025",337.1%,,,,,
26,原塩,"10,479",33,"10,446","6,639",55,"6,584","3,840",157.8%,,,,,
27,非金属鉱物,"200,501","14,341","186,160","200,522","15,791","184,731",-21,100.0%,,,,,
金属機械工業品,,"14,077,695","5,514,161","8,563,534","13,231,584","5,226,860","8,004,724","846,111",106.4%,,,,,
28,鉄鋼,"95,535","49,453","46,082","81,593","30,513","51,080","13,942",117.1%,,,,,
29,鋼材,"410,704","285,706","124,998","400,509","277,238","123,271","10,195",102.5%,,,,,
30,非鉄金属,"249,418","93,886","155,532","273,223","114,454","158,769","-23,805",91.3%,,,,,
31,金属製品,"1,793,400","342,822","1,450,578","1,593,038","289,632","1,303,406","200,362",112.6%,,,,,
32,鉄道車両,"4,309","1,355","2,954","3,769","1,593","2,176",540,114.3%,,,,,
33,完成自動車,"132,414","104,643","27,771","108,387","83,242","25,145","24,027",122.2%,,,,,
34,その他輸送用車両,"107,968","2,790","105,178","85,744","3,123","82,621","22,224",125.9%,,,,,
35,二輪自動車,"62,573","7,335","55,238","54,533","8,826","45,707","8,040",114.7%,,,,,
36,自動車部品,"2,559,104","1,610,295","948,809","2,235,673","1,479,481","756,192","323,431",114.5%,,,,,
37,その他輸送機械,"393,623","43,923","349,700","390,440","45,420","345,020","3,183",100.8%,,,,,
38,産業機械,"3,509,439","1,953,004","1,556,435","3,380,081","1,930,732","1,449,349","129,358",103.8%,,,,,
39,電気機械,"3,955,949","743,798","3,212,151","3,878,531","728,048","3,150,483","77,418",102.0%,,,,,
40,測量・光学・医療用機械,"583,518","229,158","354,360","499,899","181,632","318,267","83,619",116.7%,,,,,
41,事務用機器,"181,958","34,661","147,297","198,424","38,233","160,191","-16,466",91.7%,,,,,
42,その他機械,"37,783","11,332","26,451","47,740","14,693","33,047","-9,957",79.1%,,,,,
化学工業品,,"6,084,718","2,414,432","3,670,286","5,866,225","2,377,349","3,488,876","218,493",103.7%,,,,,
43,陶磁器,"148,993","11,304","137,689","155,896","10,180","145,716","-6,903",95.6%,,,,,
44,セメント,"16,676","3,356","13,320","21,322","8,629","12,693","-4,646",78.2%,,,,,
45,ガラス類,"291,358","89,267","202,091","203,514","69,108","134,406","87,844",143.2%,,,,,
46,窯業品,"371,416","146,997","224,419","357,015","109,932","247,083","14,401",104.0%,,,,,
47,重油,-,-,-,-,-,-,-,-,,,,,
48,揮発油,243,-,243,-,-,-,243,-,,,,,
49,その他の石油,"42,507","22,130","20,377","36,674","20,855","15,819","5,833",115.9%,,,,,
50,LNG/液化天然ガス,194,-,194,318,-,318,-124,61.0%,,,,,
51,LPG/液化石油ガス,930,-,930,-,-,-,930,-,,,,,
52,その他石油製品,"36,557","16,979","19,578","24,615","9,308","15,307","11,942",148.5%,,,,,
53,コークス,"45,301",-,"45,301","24,279",-,"24,279","21,022",186.6%,,,,,
54,石炭製品,"5,429","4,810",619,"8,244","7,824",420,"-2,815",65.9%,,,,,
55,化学薬品,"932,885","294,194","638,691","952,093","315,884","636,209","-19,208",98.0%,,,,,
56,化学肥料,"54,842","2,249","52,593","53,508","4,102","49,406","1,334",102.5%,,,,,
57,その他化学工業品,"4,137,387","1,823,146","2,314,241","4,028,747","1,821,527","2,207,220","108,640",102.7%,,,,,
軽工業品,,"5,474,818","646,465","4,828,353","5,776,494","694,963","5,081,531","-301,676",94.8%,,,,,
58,紙・パルプ,"982,329","263,357","718,972","1,210,245","333,009","877,236","-227,916",81.2%,,,,,
59,糸及び紡績半製品,"56,960","3,492","53,468","72,221","7,420","64,801","-15,261",78.9%,,,,,
60,その他繊維工業品,"379,041","59,435","319,606","407,028","61,393","345,635","-27,987",93.1%,,,,,
61,砂糖,"53,613",370,"53,243","57,248",511,"56,737","-3,635",93.7%,,,,,
62,製造食品,"2,820,254","262,856","2,557,398","2,739,830","242,776","2,497,054","80,424",102.9%,,,,,
63,飲料,"754,896","50,720","704,176","835,528","44,667","790,861","-80,632",90.3%,,,,,
64,水,"178,136","5,320","172,816","195,419","4,205","191,214","-17,283",91.2%,,,,,
65,たばこ,"77,778",218,"77,560","81,049",198,"80,851","-3,271",96.0%,,,,,
66,その他食料工業品,"171,811",697,"171,114","177,926",784,"177,142","-6,115",96.6%,,,,,
雑工業品,,"11,630,964","1,174,803","10,456,161","11,530,615","1,188,632","10,341,983","100,349",100.9%,,,,,
67,がん具,"699,165","22,212","676,953","660,434","17,877","642,557","38,731",105.9%,,,,,
68,衣服・身廻品・はきもの,"4,862,198","158,055","4,704,143","4,794,447","178,084","4,616,363","67,751",101.4%,,,,,
69,文房具・運動娯楽用品・楽器,"818,396","126,835","691,561","814,465","125,446","689,019","3,931",100.5%,,,,,
70,家具装備品,"2,158,505","108,807","2,049,698","2,200,550","97,636","2,102,914","-42,045",98.1%,,,,,
71,その他日用品,"545,552","127,908","417,644","582,446","123,270","459,176","-36,894",93.7%,,,,,
72,ゴム製品,"803,331","354,845","448,486","793,960","366,336","427,624","9,371",101.2%,,,,,
73,木製品,"1,179,501","9,639","1,169,862","1,135,577","10,503","1,125,074","43,924",103.9%,,,,,
74,その他製造工業品,"564,316","266,502","297,814","548,736","269,480","279,256","15,580",102.8%,,,,,
特殊品,,"5,452,941","3,178,705","2,274,236","6,627,563","3,605,357","3,022,206","-1,174,622",82.3%,,,,,
75,金属くず,"607,923","535,710","72,213","672,779","607,088","65,691","-64,856",90.4%,,,,,
76,再利用資材,"2,220,569","2,173,069","47,500","2,452,886","2,404,593","48,293","-232,317",90.5%,,,,,
77,動植物性製造飼肥料,"1,052,195","23,875","1,028,320","1,076,276","17,190","1,059,086","-24,081",97.8%,,,,,
78,廃棄物,-,-,-,-,-,-,-,-,,,,,
79,廃土砂,-,-,-,-,-,-,-,-,,,,,
80,輸送用容器,"1,259,390","209,996","1,049,394","1,250,278","187,761","1,062,517","9,112",100.7%,,,,,
81,取合せ品,"312,864","236,055","76,809","1,175,344","388,725","786,619","-862,480",26.6%,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,,,,,
